,MagX,MagY,MagZ
0,-302.8181818181818,-61.36363636363637,-138.46969696969697
1,-620.7121212121212,-103.71212121212122,13.575757575757576
2,-301.75,4.708333333333333,-110.625
3,-548.2985074626865,-150.17910447761193,-50.940298507462686
4,-579.030303030303,-250.6969696969697,494.030303030303
5,-373.7878787878788,-60.54545454545455,-68.57575757575758
6,-234.5,154.09375,-114.0
7,-472.6190476190476,-258.06349206349205,116.84126984126983
8,0.0,0.0,0.0
9,-254.49253731343285,70.01492537313433,-125.83582089552239
10,432.6818181818182,84.36363636363636,-458.22727272727275
11,-174.5625,101.375,-147.5
12,-288.4925373134328,-51.07462686567164,-127.28358208955224
13,-470.2769230769231,-216.84615384615384,58.184615384615384
14,-76.63076923076923,267.12307692307695,-131.72307692307692
