,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
82,AV2hAGa2-R03vmj0MJ1h,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:24.373Z,2017-08-02T03:32:21.000Z,914,fcffff0718ff740054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-172,44
83,AV2hAFES-R03vmj0MJ1c,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:18.833Z,2017-08-02T03:32:18.000Z,913,fcffff0718ff740054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-172,44
84,AV2hAEVe-R03vmj0MJ1b,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:15.836Z,2017-08-02T03:32:15.000Z,912,fcffff0718ff730056ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,115,-170,44
85,AV2hADrK-R03vmj0MJ1Y,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:13.128Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.88.113,-232,113,-170,44
86,AV2hADnr-R03vmj0MJ1W,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.906Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.0.3,-232,113,-170,44
87,AV2hADnf-R03vmj0MJ1V,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.893Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.88.122,-232,113,-170,44
88,AV2hADnH-R03vmj0MJ1U,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.870Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.88.150,-232,113,-170,44
89,AV2hADnB-R03vmj0MJ1T,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.864Z,2017-08-02T03:30:57.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,192.168.0.225,-232,113,-170,44
90,AV2hADmm-R03vmj0MJ1S,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.837Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,10.5.180.16,-232,113,-170,44
91,AV2hADmZ-R03vmj0MJ1R,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:12.823Z,2017-08-02T03:32:12.000Z,911,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,113,-170,44
92,AV2hAC3g-R03vmj0MJ1J,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:09.823Z,2017-08-02T03:32:09.000Z,910,fcffff0718ff710057ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,113,-169,44
93,AV2hACJl-R03vmj0MJ1F,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:06.884Z,2017-08-02T03:32:06.000Z,909,fcffff0718ff710056ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,113,-170,44
94,AV2hABZ_-R03vmj0MJ1E,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:03.838Z,2017-08-02T03:32:03.000Z,908,fcffff0718ff720055ff2d,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,114,-171,45
95,AV2hAAqr-R03vmj0MJ0_,parking_record_index_v2,101a0d01019a,2017-08-02T03:32:00.810Z,2017-08-02T03:32:00.000Z,907,fcffff0718ff740054ff2c,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-172,44
96,AV2g__8Q-R03vmj0MJ07,parking_record_index_v2,101a0d01019a,2017-08-02T03:31:57.839Z,2017-08-02T03:31:57.000Z,906,fcffff0718ff740053ff2d,yilan,宜蘭市中山路二段,111,10.5.151.1,-232,116,-173,45
97,AV2g__M0-R03vmj0MJ05,parking_record_index_v2,101a0d01019a,2017-08-02T03:31:54.803Z,2017-08-02T03:31:54.000Z,905,fcffff0717ff740054ff2d,yilan,宜蘭市中山路二段,111,10.5.151.1,-233,116,-172,45
98,AV2g_-eo-R03vmj0MJ02,parking_record_index_v2,101a0d01019a,2017-08-02T03:31:51.847Z,2017-08-02T03:31:51.000Z,904,fcffff0717ff720056ff2d,yilan,宜蘭市中山路二段,111,10.5.151.1,-233,114,-170,45
99,AV2g_95e-R03vmj0MJ00,parking_record_index_v2,101a0d01019a,2017-08-02T03:31:49.469Z,2017-08-02T03:31:49.000Z,903,fcffff0717ff710057ff2d,yilan,宜蘭市中山路二段,111,192.168.88.122,-233,113,-169,45
