,MagX,MagY,MagZ
0,0.0,0.0,0.0
1,-648.7384615384616,-92.9076923076923,68.04615384615384
2,103.325,254.375,-338.925
3,-445.6865671641791,-182.11940298507463,-126.6268656716418
4,-472.17910447761193,-133.88059701492537,319.2835820895522
5,-311.9848484848485,-71.25757575757575,-96.56060606060606
6,-230.796875,135.90625,-142.234375
7,-483.1818181818182,-153.92424242424244,45.27272727272727
8,-442.030303030303,42.015151515151516,-25.181818181818183
9,-252.8939393939394,277.74242424242425,25.151515151515152
10,-186.35135135135135,96.89189189189189,-126.56756756756756
11,-523.1212121212121,-92.66666666666667,-6.651515151515151
12,-508.5846153846154,-164.33846153846153,127.49230769230769
13,-129.24242424242425,226.04545454545453,-129.3030303030303
