,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,magX,magY,magZ,magT
24,AV2hwv0b-R03vmj0MM33,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:56.858Z,2017-08-02T07:03:37.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.0.225,-306,53,-270,39
25,AV2hwvlS-R03vmj0MM31,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:55.889Z,2017-08-02T07:04:55.000Z,423,fcffff07c8fe3600f9fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-312,54,-263,39
26,AV2hwu7s-R03vmj0MM3y,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:53.227Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.88.113,-306,53,-270,39
27,AV2hwu7h-R03vmj0MM3x,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:53.217Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.88.122,-306,53,-270,39
28,AV2hwu5Z-R03vmj0MM3w,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:53.079Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.1.106,-306,53,-270,39
29,AV2hwu4_-R03vmj0MM3v,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:53.055Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.0.3,-306,53,-270,39
30,AV2hwu3O-R03vmj0MM3u,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:52.941Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,192.168.1.107,-306,53,-270,39
31,AV2hwu3M-R03vmj0MM3t,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:52.939Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,10.5.180.16,-306,53,-270,39
32,AV2hwu2O-R03vmj0MM3s,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:52.877Z,2017-08-02T07:04:52.000Z,422,fcffff07cefe3500f2fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-306,53,-270,39
33,AV2hwuIK-R03vmj0MM3o,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:49.929Z,2017-08-02T07:04:49.000Z,421,fcffff07d4fe3500f0fe27,yilan,宜蘭市中山路二段,111,10.5.151.1,-300,53,-272,39
34,AV2hwtZG-R03vmj0MM3l,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:46.918Z,2017-08-02T07:04:46.000Z,420,fcffff07dbfe380001ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-293,56,-255,38
35,AV2hwr7j-R03vmj0MM3h,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:40.930Z,2017-08-02T07:04:40.000Z,419,fcffff07fafe450045ff26,yilan,宜蘭市中山路二段,111,10.5.151.1,-262,69,-187,38
36,AV2hwrMc-R03vmj0MM3d,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:37.915Z,2017-08-02T07:04:37.000Z,418,fcffff07fbfe470047ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-261,71,-185,39
37,AV2hwqdH-R03vmj0MM3c,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:34.887Z,2017-08-02T07:04:34.000Z,417,fcffff0701ff52004fff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-255,82,-177,39
38,AV2hwpvB-R03vmj0MM3Z,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:31.936Z,2017-08-02T07:04:31.000Z,416,fcffff0704ff590051ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-252,89,-175,39
39,AV2hwo_4-R03vmj0MM3W,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:28.919Z,2017-08-02T07:04:28.000Z,415,fcffff0704ff590051ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-252,89,-175,39
40,AV2hwoSw-R03vmj0MM3U,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:26.031Z,2017-08-02T07:04:25.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,10.5.180.24,-252,89,-174,39
41,AV2hwoR9-R03vmj0MM3T,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:25.980Z,2017-08-02T07:04:25.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,192.168.88.122,-252,89,-174,39
42,AV2hwoR7-R03vmj0MM3S,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:25.978Z,2017-08-02T07:04:25.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,192.168.88.113,-252,89,-174,39
43,AV2hwoRR-R03vmj0MM3R,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:25.937Z,2017-08-02T07:04:25.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,192.168.0.3,-252,89,-174,39
44,AV2hwoRI-R03vmj0MM3Q,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:25.927Z,2017-08-02T07:03:10.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,192.168.0.225,-252,89,-174,39
45,AV2hwoQu-R03vmj0MM3P,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:25.902Z,2017-08-02T07:04:25.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,10.5.180.16,-252,89,-174,39
46,AV2hwoQk-R03vmj0MM3O,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:25.892Z,2017-08-02T07:04:25.000Z,414,fcffff0704ff590052ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-252,89,-174,39
47,AV2hwniP-R03vmj0MM3N,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:22.926Z,2017-08-02T07:04:22.000Z,413,fcffff0704ff590051ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-252,89,-175,39
48,AV2hwmyu-R03vmj0MM3K,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:19.885Z,2017-08-02T07:04:19.000Z,412,fcffff0703ff590051ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-253,89,-175,39
49,AV2hwmD4-R03vmj0MM3H,parking_record_index_v2,101a0d01019a,2017-08-02T07:04:16.887Z,2017-08-02T07:04:16.000Z,411,fcffff0704ff5a0051ff27,yilan,宜蘭市中山路二段,111,10.5.151.1,-252,90,-175,39
