,MagX,MagY,MagZ
0,-330.0,16.166666666666668,-135.47619047619048
1,-268.66037735849056,15.0,-183.30188679245282
2,-264.7358490566038,243.28301886792454,-139.28301886792454
3,-312.9047619047619,55.04761904761905,-242.38095238095238
4,-742.0454545454545,-186.13636363636363,141.63636363636363
5,-264.14285714285717,-66.74603174603175,-143.015873015873
6,-219.0,154.24,-134.88
7,-362.72340425531917,-30.23404255319149,-100.55319148936171
8,-502.9836065573771,-92.91803278688525,278.55737704918033
9,-256.7708333333333,69.6875,-133.83333333333334
10,-246.05263157894737,-67.26315789473684,-160.33333333333334
11,-181.36923076923077,84.2,-234.6153846153846
12,-298.40983606557376,-18.42622950819672,-133.34426229508196
13,-85.94871794871794,235.23076923076923,-45.743589743589745
