time,Mag1_X,Mag1_Y,Mag1_Z,Mag1_Len,Mag1_CarLen,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,Mag2_Len,Mag2_CarLen,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,Mag3_Len,Mag3_CarLen,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,Mag4_Len,Mag4_CarLen,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
18:32.2,177,-106,-158,259.8634257,1.472169026,177.724375,-105.0475,-157.1425,0,197,-74,-244,322.2126627,2.477291001,198.45125,-73.824375,-246,0,303,-55,-198,366.1120047,1.58082776,303.225625,-53.721875,-197.0975,0,319,-135,-112,364.0467003,1.867110694,318.824375,-135.35625,-110.175625,0
18:32.6,178,-106,-156,259.3376178,1.512789358,177.724375,-105.0475,-157.1425,0,197,-74,-245,322.9705869,1.771149543,198.45125,-73.824375,-246,0,303,-55,-197,365.5721543,1.301543855,303.225625,-53.721875,-197.0975,0,319,-135,-111,363.740292,0.915069584,318.824375,-135.35625,-110.175625,0
18:33.1,177,-107,-159,260.881199,2.790570128,177.724375,-105.0475,-157.1425,0,198,-75,-245,323.8116737,1.608017631,198.45125,-73.824375,-246,0,304,-55,-193,364.266386,4.361509648,303.225625,-53.721875,-197.0975,0,319,-135,-109,363.1349611,1.240907871,318.824375,-135.35625,-110.175625,0
18:33.5,177,-105,-158,259.4571256,1.067337426,177.6881563,-105.045125,-157.185375,0,198,-74,-246,324.3393285,0.460010662,198.4286875,-73.83315625,-246,0,303,-53,-196,364.7382623,1.266217223,303.2143438,-53.68578125,-197.042625,0,319,-135,-109,363.1349611,1.178862477,318.8331563,-135.3384375,-110.1168438,0
18:33.9,177,-107,-154,257.8643054,3.800224886,177.6881563,-105.045125,-157.185375,0,198,-76,-243,322.5352694,3.725450954,198.4286875,-73.83315625,-246,0,303,-54,-196,364.8849134,1.109839428,303.2143438,-53.68578125,-197.042625,0,318,-135,-110,362.5589607,0.906830602,318.8331563,-135.3384375,-110.1168438,0
18:34.3,177,-106,-157,259.2566296,1.191515497,177.6881563,-105.045125,-157.185375,0,198,-73,-247,324.8722826,1.370373055,198.4286875,-73.83315625,-246,0,303,-53,-196,364.7382623,1.266217223,303.2143438,-53.68578125,-197.042625,0,318,-135,-112,363.1707587,2.086855707,318.8331563,-135.3384375,-110.1168438,0
18:34.8,177,-106,-154,257.4509662,3.395873846,177.6881563,-105.045125,-157.185375,0,197,-74,-248,325.2522098,2.463530964,198.4286875,-73.83315625,-246,0,303,-55,-196,365.034245,1.691206982,303.2143438,-53.68578125,-197.042625,0,319,-135,-108,362.8360511,2.150210278,318.8331563,-135.3384375,-110.1168438,0
18:35.2,176,-106,-155,257.3654989,2.921903777,177.6881563,-105.045125,-157.185375,0,197,-75,-246,323.9598741,1.844633381,198.4286875,-73.83315625,-246,0,303,-54,-197,365.4230425,0.382744767,303.2143438,-53.68578125,-197.042625,0,317,-134,-108,360.7062517,3.103692034,318.8331563,-135.3384375,-110.1168438,0
18:35.6,176,-107,-155,257.7789751,3.383381693,177.6881563,-105.045125,-157.185375,0,197,-75,-244,322.4437936,2.720785238,198.4286875,-73.83315625,-246,0,302,-54,-195,363.5175374,2.397015031,303.2143438,-53.68578125,-197.042625,0,316,-136,-107,360.2790585,4.263701941,318.8331563,-135.3384375,-110.1168438,0
18:36.0,175,-106,-154,256.0800656,4.062245343,177.5537484,-105.0928688,-157.0261063,0,195,-75,-243,320.466847,4.467770544,198.2572531,-73.89149844,-245.85,0,301,-57,-193,362.0759589,5.393304961,303.1036266,-53.85149219,-196.8404938,0,315,-137,-109,360.381742,4.108265827,318.6414984,-135.4215156,-110.0610016,0
