time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
15:45.3,187,-84,-159,186.6873432,-87.74276046,-163.2014319,0,202,-65,-252,204.6388477,-64.09973303,-253.0891461,0,314,-50,-218,313.099717,-46.44620981,-222.419582,0,320,-126,-133,319.940873,-128.5791283,-131.737872,0
15:48.3,188,-89,-161,186.752976,-87.80562244,-163.0913603,0,204,-61,-252,204.6069053,-63.94474638,-253.0346888,0,311,-49,-220,312.9947311,-46.57389932,-222.2986029,0,321,-130,-131,319.9938294,-128.6501719,-131.7009784,0
15:51.2,186,-89,-160,186.7153272,-87.86534132,-162.9367923,0,207,-64,-251,204.72656,-63.94750906,-252.9329544,0,312,-45,-221,312.9449946,-46.49520436,-222.2336727,0,319,-130,-133,319.9441379,-128.7176633,-131.7659295,0
15:54.1,186,-85,-161,186.6795609,-87.72207425,-162.8399527,0,204,-67,-252,204.690232,-64.10013361,-252.8863067,0,313,-48,-221,312.9477449,-46.57044414,-222.1719891,0,319,-125,-132,319.896931,-128.5317802,-131.777633,0
15:57.0,188,-89,-159,186.7455828,-87.78597054,-162.647955,0,205,-61,-251,204.7057204,-63.94512693,-252.7919913,0,310,-48,-221,312.8003576,-46.64192193,-222.1133896,0,320,-130,-133,319.9020845,-128.6051911,-131.8387513,0
16:00.0,185,-88,-161,186.6583037,-87.79667201,-162.5655573,0,205,-67,-254,204.7204344,-64.09787058,-252.8523918,0,313,-44,-222,312.8103397,-46.50982583,-222.1077202,0,317,-127,-136,319.7569802,-128.5249316,-132.0468138,0
16:02.9,188,-83,-160,186.7253885,-87.55683841,-162.4372794,0,202,-62,-254,204.5844127,-63.99297705,-252.9097722,0,312,-50,-222,312.7698228,-46.68433454,-222.1023341,0,319,-126,-132,319.7191312,-128.398685,-132.0444731,0
16:05.8,187,-89,-161,186.7391191,-87.62899649,-162.3654155,0,206,-66,-253,204.655192,-64.0933282,-252.9142836,0,311,-45,-222,312.6813316,-46.60011782,-222.0972174,0,318,-130,-132,319.6331747,-128.4787508,-132.0422494,0
16:08.8,188,-86,-162,186.8021631,-87.54754667,-162.3471447,0,202,-63,-253,204.5224324,-64.03866179,-252.9185694,0,314,-49,-219,312.747265,-46.72011192,-221.9423566,0,321,-127,-132,319.7015159,-128.4048132,-132.040137,0
16:11.7,186,-90,-161,186.762055,-87.67016933,-162.2797874,0,206,-64,-255,204.5963108,-64.0367287,-253.0226409,0,311,-45,-223,312.6599018,-46.63410633,-221.9952387,0,318,-130,-133,319.6164401,-128.4845726,-132.0881301,0
16:14.6,188,-86,-162,186.8239522,-87.58666087,-162.2657981,0,202,-64,-253,204.4664953,-64.03489226,-253.0215089,0,313,-50,-220,312.6769067,-46.80240101,-221.8954768,0,320,-128,-134,319.6356181,-128.4603439,-132.1837236,0
16:17.5,185,-88,-161,186.7327546,-87.60732782,-162.2025082,0,206,-66,-252,204.5431705,-64.13314765,-252.9704334,0,313,-45,-221,312.6930614,-46.71228096,-221.850703,0,319,-128,-133,319.6038372,-128.4373267,-132.2245374,0
16:20.5,188,-89,-160,186.7961169,-87.67696143,-162.0923828,0,204,-62,-250,204.516012,-64.02649027,-252.8219118,0,311,-48,-221,312.6084083,-46.77666691,-221.8081678,0,321,-130,-133,319.6736454,-128.5154604,-132.2633105,0
16:23.4,186,-84,-163,186.756311,-87.49311336,-162.1377636,0,203,-64,-253,204.4402114,-64.02516576,-252.8308162,0,313,-49,-222,312.6279879,-46.88783357,-221.8177594,0,320,-126,-133,319.6899631,-128.3896874,-132.300145,0
16:26.3,185,-90,-160,186.6684955,-87.61845769,-162.0308754,0,205,-66,-254,204.4682008,-64.12390747,-252.8892754,0,311,-47,-223,312.5465885,-46.89344189,-221.8768715,0,318,-132,-130,319.6054649,-128.570203,-132.1851378,0
16:29.2,194,-103,-162,186.6684955,-87.61845769,-162.0308754,2,210,-77,-255,204.4682008,-64.12390747,-252.8892754,2,317,-64,-225,312.5465885,-46.89344189,-221.8768715,2,328,-145,-137,319.6054649,-128.570203,-132.1851378,2
16:30.2,195,-100,-165,186.6684955,-87.61845769,-162.0308754,2,213,-80,-259,204.4682008,-64.12390747,-252.8892754,2,325,-62,-229,312.5465885,-46.89344189,-221.8768715,2,330,-139,-139,319.6054649,-128.570203,-132.1851378,2
