,back_hold_veryca,env_hold,forward_hold_RV
Mag1_X,4.020632065764469e-15,0.0,5.633131598818812e-15
Mag1_Y,-2.2737367544323207e-14,1.8947806286936004e-14,5.633131598818812e-15
Mag1_Z,-2.911492185553581e-15,3.789561257387201e-15,-9.217851707158057e-15
Mag2_X,-2.911492185553581e-15,9.473903143468002e-15,-6.913388780368543e-15
Mag2_Y,-1.5597279565465614e-15,-9.473903143468002e-16,-3.584720108339244e-15
Mag2_Z,6.308233068699426e-15,-1.8947806286936004e-14,2.5605143630994602e-14
Mag3_X,-1.0675471347029798e-14,3.789561257387201e-15,-2.3044629267895142e-14
Mag3_Y,5.060450703462177e-15,0.0,2.6885400812544333e-15
Mag3_Z,1.109139880210888e-15,-1.3263464400855204e-14,2.6117246503614495e-14
Mag4_X,1.2456160764087122e-17,-3.700743415417188e-17,4.400884061577197e-17
Mag4_Y,-1.5922222889746147e-16,-6.846375318521799e-17,-2.000401846171453e-17
Mag4_Z,5.502373624483703e-16,-2.6645352591003756e-16,8.001607384685813e-17
Mag1_len,4.298907072629452,4.263279527126528,4.40574987003648
Mag2_len,4.027746528655643,4.0704932961818105,4.299477705304659
Mag3_len,4.076198096745021,4.261712435386688,4.27146288230605
Mag4_len,2.080186883508082,2.0511004534242168,2.0911641469053053
