,MagX,MagY,MagZ
0,-266.55555555555554,-84.66666666666667,-282.94444444444446
1,-249.74137931034483,-14.913793103448276,-287.01724137931035
2,-260.57575757575756,259.0151515151515,-165.45454545454547
3,-314.3488372093023,35.604651162790695,-302.0232558139535
4,-950.5675675675676,34.86486486486486,238.86486486486487
5,-227.0909090909091,-137.36363636363637,-125.39393939393939
6,-189.22641509433961,112.50943396226415,-190.96226415094338
7,-328.7,-12.64,-125.58
8,-497.6060606060606,-109.33333333333333,251.93939393939394
9,-230.86486486486487,62.432432432432435,-187.6216216216216
10,37.578947368421055,-208.73684210526315,-11.421052631578947
11,-182.1875,124.35416666666667,-196.95833333333334
12,-273.15686274509807,-16.41176470588235,-118.90196078431373
13,-23.42622950819672,257.344262295082,-55.57377049180328
