08/21 20:42:31.825625,211,271,-271,163,22,-318,283,86,-216,-1,0,-3
08/21 20:42:32.257546,215,272,-265,163,22,-320,281,85,-218,-1,-1,0
08/21 20:42:32.689427,216,272,-266,163,22,-317,278,86,-224,-1,0,-1
08/21 20:42:33.121131,217,273,-269,166,23,-310,278,85,-222,0,1,0
08/21 20:42:33.552892,214,274,-273,168,23,-311,278,85,-220,0,1,-1
08/21 20:42:33.984623,212,273,-274,168,22,-312,281,85,-219,0,0,-1
08/21 20:42:34.415989,211,272,-279,167,24,-316,283,87,-215,0,1,1
08/21 20:42:34.847321,212,272,-270,165,23,-319,285,86,-213,-1,-1,-3
08/21 20:42:35.278819,214,272,-267,164,23,-318,281,86,-220,-1,0,-2
08/21 20:42:35.710248,217,273,-268,164,22,-314,279,85,-223,-1,0,-2
08/21 20:42:36.141527,217,273,-270,167,23,-310,278,86,-223,-1,-1,1
08/21 20:42:36.572987,214,273,-275,169,24,-309,280,86,-218,0,-1,-1
08/21 20:42:37.004423,213,273,-278,167,22,-314,282,85,-214,-1,-1,3
08/21 20:42:37.435739,212,272,-275,167,22,-315,283,85,-214,-1,0,-2
08/21 20:42:37.867601,214,273,-270,164,22,-322,284,87,-216,-2,0,1
08/21 20:42:38.299530,216,272,-265,163,23,-317,282,87,-219,-1,-4,-1
08/21 20:42:38.730928,217,272,-268,163,23,-317,280,86,-219,-1,-1,0
08/21 20:42:39.162841,216,273,-269,166,23,-312,279,85,-222,-1,1,-2
08/21 20:42:39.594261,216,274,-272,167,23,-308,278,85,-222,0,0,1
08/21 20:42:40.025607,213,273,-275,168,22,-311,280,86,-216,0,-1,2
08/21 20:42:40.457389,211,273,-276,167,23,-316,283,85,-213,0,0,0
08/21 20:42:40.889000,211,273,-275,165,25,-320,283,86,-214,-1,0,-3
08/21 20:42:41.320474,213,272,-268,164,22,-319,284,86,-217,-1,0,-4
08/21 20:42:41.751954,215,273,-266,163,22,-313,280,86,-222,-1,-1,1
08/21 20:42:42.184568,217,273,-267,163,24,-316,280,86,-222,-1,-2,1
08/21 20:42:42.615923,217,273,-266,165,23,-313,278,85,-223,0,-1,1
08/21 20:42:43.047829,215,274,-272,168,25,-312,278,85,-222,0,-2,-1
08/21 20:42:43.494605,212,272,-276,167,25,-313,282,83,-213,0,0,-1
08/21 20:42:43.925927,212,272,-274,167,23,-314,283,87,-213,0,-1,1
08/21 20:42:44.357205,211,271,-271,165,23,-318,283,87,-216,-1,-1,-2
08/21 20:42:44.788463,213,272,-267,163,24,-319,282,86,-218,-1,0,3
08/21 20:42:45.219823,216,273,-266,163,23,-315,280,88,-223,0,-1,2
08/21 20:42:45.651136,216,273,-269,165,23,-312,278,86,-221,0,0,-1
08/21 20:42:46.082409,215,274,-273,168,23,-309,278,86,-222,0,0,0
08/21 20:42:46.513744,213,274,-276,168,23,-312,280,85,-218,0,0,0
08/21 20:42:46.945152,211,273,-276,167,24,-314,282,85,-215,-1,-1,0
08/21 20:42:47.376920,211,272,-272,165,23,-319,283,85,-213,-1,-1,-2
08/21 20:42:47.808650,213,273,-269,163,24,-317,283,86,-217,-1,0,-4
08/21 20:42:48.240611,214,274,-268,162,21,-317,282,84,-219,-1,-1,0
08/21 20:42:48.676731,211,273,-273,165,22,-319,282,86,-214,0,0,-1
08/21 20:42:49.108567,212,273,-273,163,21,-321,283,86,-216,-1,0,-3
08/21 20:42:49.540434,214,272,-270,163,23,-317,282,86,-217,0,0,-3
08/21 20:42:49.971863,216,274,-267,163,23,-317,281,87,-219,-1,-1,-1
08/21 20:42:50.403234,216,272,-266,164,22,-313,278,86,-223,0,-2,-1
08/21 20:42:50.834562,216,274,-270,166,23,-309,278,85,-221,-1,0,-3
08/21 20:42:51.265921,214,274,-273,168,22,-309,279,86,-219,-1,-3,-2
08/21 20:42:51.697673,212,273,-276,168,24,-310,280,86,-218,0,0,-1
08/21 20:42:52.129821,211,272,-273,167,22,-314,282,85,-214,-1,-2,-1
08/21 20:42:52.561829,211,274,-276,165,23,-319,282,86,-217,-1,-2,-4
08/21 20:42:52.993643,211,272,-275,165,22,-318,284,84,-213,-2,-1,-1
08/21 20:42:53.425082,212,271,-273,164,23,-320,283,86,-214,-2,1,-1
08/21 20:42:53.856551,213,273,-270,162,22,-319,282,86,-219,-1,-1,0
08/21 20:42:54.287939,215,273,-267,163,23,-319,280,87,-220,-1,0,0
08/21 20:42:54.719343,216,274,-267,163,24,-316,280,86,-221,-1,-2,3
