time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
24:20.4,47,-197,-143,185,-23,-252,356,7,-243,455,-292,-172
24:20.9,44,-198,-148,190,-24,-248,355,6,-238,450,-290,-182
24:21.3,49,-196,-149,190,-24,-245,350,5,-242,455,-290,-180
24:21.7,50,-198,-140,185,-23,-249,353,7,-247,457,-291,-170
24:22.1,44,-199,-146,187,-23,-253,357,7,-237,452,-289,-176
24:22.6,46,-197,-149,191,-23,-245,352,6,-241,451,-290,-181
24:23.0,51,-197,-143,187,-24,-248,351,7,-247,457,-290,-176
24:23.4,46,-199,-145,184,-23,-254,356,7,-240,455,-291,-173
24:23.8,44,-198,-151,190,-24,-250,356,7,-237,451,-290,-176
24:24.2,50,-196,-146,191,-24,-242,349,6,-245,454,-291,-179
24:24.7,50,-198,-140,185,-23,-247,352,7,-245,457,-291,-173
24:25.1,45,-198,-147,187,-23,-252,356,6,-241,451,-289,-173
24:25.5,47,-196,-149,191,-23,-242,350,6,-241,452,-289,-181
24:25.9,51,-197,-141,184,-22,-248,352,6,-246,457,-289,-173
24:26.4,45,-199,-146,187,-24,-251,356,8,-241,453,-290,-175
24:26.8,45,-198,-152,191,-22,-244,353,6,-237,450,-290,-181
24:27.2,52,-198,-144,185,-22,-253,355,8,-243,453,-291,-175
24:27.6,46,-198,-152,191,-24,-243,350,7,-244,452,-291,-180
24:28.0,51,-198,-142,186,-24,-247,351,7,-247,457,-290,-175
24:28.5,45,-199,-146,187,-23,-251,357,6,-238,453,-290,-174
24:28.9,46,-198,-148,191,-23,-246,354,7,-237,450,-288,-182
24:29.3,51,-197,-147,188,-24,-244,349,7,-248,455,-289,-175
24:29.7,47,-199,-143,185,-25,-249,356,8,-244,455,-288,-172
24:30.2,44,-199,-149,190,-22,-249,355,6,-238,450,-288,-180
24:30.6,49,-197,-147,191,-22,-245,350,5,-244,454,-288,-178
24:31.0,50,-198,-139,184,-24,-248,353,7,-245,457,-290,-172
24:31.4,44,-199,-147,188,-24,-249,357,6,-238,451,-290,-174
24:31.8,46,-198,-149,192,-23,-244,353,6,-239,451,-290,-181
24:32.3,52,-198,-142,185,-22,-255,355,6,-242,455,-290,-172
24:32.7,44,-198,-150,192,-23,-249,356,5,-238,451,-290,-181
24:33.1,50,-197,-146,190,-24,-244,350,7,-246,456,-289,-179
24:33.5,49,-197,-140,184,-23,-251,354,7,-243,457,-289,-171
24:34.0,44,-198,-148,189,-21,-247,357,6,-233,450,-290,-176
24:34.4,49,-197,-150,190,-22,-242,349,6,-246,454,-289,-179
24:34.8,49,-198,-142,185,-23,-249,352,6,-243,456,-290,-170
24:35.2,44,-198,-146,188,-24,-253,357,6,-237,451,-290,-179
24:35.6,48,-197,-151,191,-24,-241,351,5,-240,453,-290,-180
24:36.1,50,-199,-140,184,-23,-248,352,6,-245,458,-289,-177
24:36.5,45,-198,-145,188,-22,-252,358,7,-236,451,-290,-175
24:36.9,48,-197,-148,191,-23,-246,352,6,-242,452,-289,-181
24:37.3,52,-196,-141,186,-24,-246,350,7,-248,458,-289,-172
24:37.7,45,-200,-145,185,-23,-251,357,6,-238,453,-287,-174
24:38.2,46,-198,-151,192,-23,-245,353,5,-240,451,-290,-181
24:38.6,51,-196,-143,187,-22,-245,350,7,-245,457,-288,-176
24:39.0,46,-199,-143,185,-22,-251,357,7,-239,453,-290,-175
24:39.4,45,-199,-149,192,-21,-247,353,7,-237,452,-292,-181
24:39.9,51,-198,-143,186,-24,-247,350,7,-247,457,-290,-175
24:40.3,46,-199,-143,185,-24,-253,357,7,-238,453,-291,-171
24:40.7,45,-198,-150,191,-22,-246,355,4,-234,451,-290,-178
24:41.1,51,-198,-145,187,-23,-247,350,8,-247,457,-290,-175
24:41.5,48,-199,-143,185,-22,-251,356,7,-240,456,-289,-168
24:42.0,44,-197,-151,191,-24,-248,354,6,-239,451,-290,-179
24:42.4,50,-197,-143,189,-24,-244,349,8,-246,456,-290,-174
24:42.8,48,-199,-145,184,-22,-254,355,8,-243,456,-290,-172
24:43.2,45,-197,-148,189,-23,-249,356,6,-233,451,-291,-178
24:43.6,50,-197,-149,190,-23,-243,351,7,-240,455,-292,-178
24:44.1,50,-198,-139,185,-23,-250,353,6,-244,457,-290,-173
24:44.5,44,-198,-146,188,-22,-248,357,8,-235,451,-289,-178
24:44.9,48,-198,-146,190,-22,-244,350,5,-241,453,-289,-180
24:45.3,51,-198,-142,185,-23,-249,352,7,-245,457,-290,-170
24:45.8,44,-200,-147,187,-22,-252,357,8,-238,451,-290,-174
24:46.2,47,-198,-148,191,-24,-241,350,6,-242,452,-290,-176
24:46.6,51,-197,-143,185,-23,-248,351,5,-246,457,-289,-176
24:47.0,46,-198,-147,186,-23,-254,356,7,-240,453,-291,-172
24:47.4,46,-198,-148,191,-22,-245,353,6,-237,450,-289,-180
24:47.9,51,-198,-146,187,-24,-245,350,7,-244,457,-289,-171
24:48.3,44,-199,-147,188,-24,-248,358,7,-237,452,-292,-175
24:48.7,48,-197,-149,191,-24,-242,351,6,-241,454,-291,-178
24:49.1,51,-198,-140,186,-23,-249,351,7,-248,456,-290,-169
24:49.5,45,-199,-146,187,-22,-250,357,7,-238,452,-289,-175
24:50.0,47,-197,-150,191,-23,-246,350,7,-243,452,-288,-181
