time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
12:13.6,48,-195,-151,195,-20,-244,358,9,-237,455,-292,-176
12:14.1,53,-196,-145,190,-21,-245,354,10,-247,461,-292,-171
12:14.5,51,-196,-141,187,-21,-249,361,10,-240,460,-291,-167
12:14.9,46,-196,-151,193,-20,-250,361,10,-238,455,-290,-176
12:15.3,52,-196,-148,192,-20,-243,355,10,-246,459,-291,-176
12:15.8,53,-196,-143,187,-22,-248,357,9,-245,461,-292,-169
12:16.2,47,-196,-144,191,-20,-250,361,11,-239,456,-292,-171
12:16.6,49,-195,-149,193,-21,-244,356,11,-244,456,-292,-176
12:17.0,54,-197,-140,189,-21,-243,356,10,-245,462,-290,-173
12:17.4,49,-196,-143,187,-21,-251,361,9,-240,459,-289,-168
12:17.9,47,-197,-151,193,-20,-245,359,8,-238,455,-291,-180
12:18.3,53,-195,-147,191,-20,-245,355,9,-244,460,-289,-176
12:18.7,51,-196,-142,187,-21,-246,358,8,-243,461,-291,-168
12:19.1,47,-196,-148,192,-21,-246,361,9,-239,456,-285,-176
12:19.5,50,-195,-149,193,-19,-245,355,8,-244,457,-285,-183
12:20.0,53,-195,-140,188,-20,-244,355,10,-246,461,-286,-175
12:20.4,48,-196,-144,189,-22,-250,362,9,-238,458,-291,-170
12:20.8,47,-196,-149,193,-21,-250,358,9,-240,455,-290,-178
12:21.2,54,-194,-146,191,-21,-243,355,9,-245,460,-290,-177
12:21.7,51,-195,-139,187,-19,-252,360,9,-244,460,-290,-170
12:22.1,47,-196,-151,192,-20,-252,360,9,-236,455,-289,-175
12:22.5,52,-195,-149,193,-23,-241,355,9,-244,458,-289,-178
12:22.9,54,-195,-141,188,-21,-246,355,8,-249,462,-297,-163
12:23.3,48,-197,-144,189,-21,-254,361,10,-239,458,-298,-162
12:23.8,47,-195,-150,193,-20,-246,359,9,-238,456,-298,-169
12:24.2,53,-195,-145,191,-22,-243,354,9,-247,459,-298,-166
12:24.6,51,-196,-140,187,-21,-248,359,11,-245,462,-297,-163
12:25.0,47,-197,-147,191,-21,-249,363,9,-235,456,-300,-165
12:25.4,49,-194,-150,193,-21,-243,356,10,-242,457,-299,-174
12:25.9,54,-195,-142,189,-20,-246,354,8,-246,462,-289,-173
12:26.3,49,-197,-143,187,-21,-252,359,10,-245,459,-298,-163
12:26.7,46,-197,-149,192,-21,-247,359,10,-240,455,-299,-167
12:27.1,52,-195,-152,193,-23,-243,355,8,-244,458,-298,-169
12:27.6,52,-196,-140,188,-22,-246,357,10,-247,462,-298,-164
12:28.0,48,-196,-149,188,-21,-253,361,10,-241,458,-296,-163
12:28.4,47,-197,-149,193,-20,-248,359,8,-238,456,-298,-170
12:28.8,53,-195,-144,191,-22,-241,354,9,-248,458,-298,-169
12:29.2,52,-198,-141,187,-23,-248,357,8,-247,461,-299,-164
12:29.7,48,-197,-142,190,-21,-253,361,9,-241,457,-299,-165
12:30.1,48,-197,-151,194,-23,-249,358,8,-240,455,-299,-173
12:30.5,52,-196,-144,191,-22,-242,354,8,-243,461,-299,-167
12:30.9,51,-196,-143,187,-22,-251,359,9,-246,461,-299,-161
12:31.3,47,-195,-146,191,-22,-249,362,8,-239,455,-299,-168
12:31.8,50,-196,-149,194,-21,-243,357,8,-240,457,-299,-168
12:32.2,54,-196,-144,189,-21,-242,354,8,-250,462,-299,-163
12:32.6,51,-198,-141,187,-22,-252,360,8,-244,461,-300,-163
12:33.0,47,-196,-147,192,-23,-246,362,9,-236,456,-299,-168
12:33.5,51,-196,-149,194,-23,-242,355,8,-245,458,-300,-171
12:33.9,54,-196,-140,189,-23,-245,356,8,-246,462,-300,-162
12:34.3,50,-198,-142,187,-22,-250,362,7,-241,460,-301,-163
12:34.7,47,-197,-149,193,-21,-249,361,8,-237,456,-300,-166
12:35.1,52,-196,-147,194,-22,-244,356,7,-244,458,-300,-170
12:35.6,55,-197,-138,189,-24,-243,358,8,-246,463,-300,-162
12:36.0,49,-198,-142,188,-23,-250,362,8,-240,459,-300,-163
12:36.4,48,-197,-150,195,-23,-245,360,7,-239,455,-302,-169
12:36.8,53,-198,-145,193,-23,-241,356,7,-243,461,-301,-168
12:37.2,54,-199,-138,189,-24,-248,358,7,-247,463,-301,-159
12:37.7,49,-199,-143,190,-23,-252,362,6,-239,458,-301,-163
12:38.1,49,-198,-151,195,-23,-242,359,7,-239,456,-301,-172
12:38.5,54,-198,-141,192,-22,-243,356,6,-246,461,-302,-168
12:38.9,53,-200,-140,188,-24,-247,359,6,-246,462,-302,-162
12:39.3,48,-199,-146,191,-23,-247,363,7,-235,458,-302,-163
12:39.8,50,-197,-150,194,-23,-237,358,6,-239,458,-301,-168
12:40.9,51,-198,-140,188,-23,-250,359,6,-242,461,-301,-159
12:41.3,48,-197,-148,193,-23,-246,362,6,-236,457,-303,-166
12:41.7,52,-198,-148,195,-23,-242,358,7,-243,458,-302,-171
12:42.1,54,-197,-142,190,-24,-244,357,6,-246,463,-302,-164
12:42.6,50,-199,-142,190,-25,-251,362,8,-240,459,-302,-160
12:43.0,49,-197,-148,195,-24,-245,360,6,-240,456,-303,-170
12:43.4,54,-197,-143,193,-24,-239,356,6,-243,461,-302,-170
12:43.8,53,-199,-140,188,-23,-248,360,5,-242,463,-302,-159
12:44.3,49,-200,-144,191,-25,-248,363,7,-238,458,-303,-160
12:44.7,49,-199,-150,195,-22,-244,359,7,-238,457,-303,-169
12:45.1,54,-198,-142,192,-23,-240,356,8,-246,462,-301,-168
12:45.5,53,-200,-140,189,-24,-248,359,6,-242,462,-302,-163
12:45.9,48,-200,-145,193,-22,-248,363,7,-235,457,-297,-169
12:46.4,52,-199,-147,195,-24,-240,356,4,-242,457,-295,-176
12:46.8,55,-198,-141,190,-23,-245,357,6,-245,463,-295,-171
12:47.2,50,-198,-142,189,-23,-251,362,6,-240,461,-299,-166
12:47.6,48,-200,-150,195,-25,-244,361,5,-237,457,-300,-169
12:48.0,54,-199,-144,193,-25,-239,356,5,-243,461,-299,-172
12:48.5,54,-199,-141,189,-26,-249,361,5,-244,463,-291,-171
12:48.9,48,-201,-146,192,-24,-246,363,6,-237,457,-289,-179
12:49.3,51,-200,-149,196,-25,-240,358,4,-240,459,-297,-174
12:49.7,56,-202,-139,191,-25,-242,358,5,-245,464,-299,-165
12:50.2,52,-203,-142,190,-27,-246,363,4,-239,461,-301,-165
12:50.6,50,-203,-145,195,-27,-242,363,3,-233,459,-302,-171
12:51.0,55,-202,-139,196,-29,-239,358,0,-237,463,-302,-169
12:51.4,54,-204,-134,190,-30,-242,363,1,-236,463,-303,-164
12:51.8,49,-206,-139,194,-31,-242,364,0,-230,459,-302,-167
12:52.3,53,-204,-140,197,-33,-234,359,-1,-233,460,-309,-167
12:52.7,56,-209,-132,192,-35,-234,357,-6,-232,462,-312,-151
12:53.1,50,-213,-123,187,-40,-231,358,-8,-223,457,-315,-144
12:53.5,43,-217,-122,187,-44,-222,355,-15,-211,448,-319,-143
12:53.9,42,-220,-118,183,-47,-215,342,-17,-213,440,-322,-141
12:54.4,33,-221,-111,165,-50,-213,325,-19,-215,427,-322,-144
12:54.8,13,-222,-112,149,-49,-231,319,-18,-219,416,-321,-151
12:55.2,5,-221,-127,149,-49,-227,315,-19,-222,411,-320,-157
12:55.6,7,-221,-126,146,-47,-232,309,-17,-234,410,-318,-168
12:56.1,4,-224,-133,140,-50,-247,308,-20,-253,413,-324,-177
12:56.5,0,-230,-155,143,-54,-265,317,-26,-258,414,-327,-191
12:57.4,15,-243,-164,158,-74,-270,322,-51,-266,423,-354,-192
12:57.8,15,-264,-155,152,-89,-269,320,-62,-260,420,-359,-190
12:58.2,9,-266,-158,148,-88,-271,315,-61,-260,403,-366,-195
12:58.6,-9,-272,-172,133,-102,-277,289,-80,-306,399,-382,-282
12:59.0,35,-312,-265,245,-148,-343,417,-138,-254,481,-456,-145
12:59.5,34,-368,-96,147,-211,-232,306,-195,-248,411,-504,-203
12:59.9,11,-412,-170,177,-230,-287,361,-202,-255,455,-505,-183
13:00.3,52,-400,-147,197,-220,-239,356,-184,-230,457,-485,-175
13:00.7,46,-384,-117,182,-206,-233,351,-173,-227,454,-469,-157
13:01.2,37,-375,-113,183,-198,-232,354,-165,-212,448,-465,-153
13:01.6,39,-368,-111,188,-192,-218,355,-161,-203,450,-467,-147
13:02.0,49,-368,-90,185,-192,-201,353,-163,-193,458,-466,-133
13:02.4,43,-370,-82,184,-195,-206,359,-161,-194,456,-474,-122
13:02.8,43,-370,-93,192,-189,-207,358,-157,-193,450,-469,-133
13:03.3,45,-363,-102,188,-186,-206,351,-157,-197,454,-460,-145
13:03.7,45,-356,-105,181,-182,-221,355,-150,-215,456,-464,-141
13:04.1,38,-365,-103,185,-188,-224,356,-158,-214,448,-473,-146
13:04.5,40,-369,-119,186,-198,-235,350,-171,-228,450,-488,-162
13:04.9,46,-385,-129,187,-211,-238,352,-180,-234,458,-492,-163
13:05.4,46,-387,-124,184,-211,-247,357,-180,-235,457,-492,-156
13:05.8,42,-393,-119,190,-210,-243,358,-179,-224,452,-488,-159
13:06.2,47,-387,-127,191,-209,-236,353,-180,-226,451,-486,-168
13:06.6,45,-381,-125,184,-206,-242,349,-176,-235,452,-482,-161
13:07.1,40,-382,-124,183,-206,-246,355,-174,-232,450,-483,-160
13:07.5,39,-383,-129,188,-206,-244,350,-168,-240,446,-477,-176
13:07.9,44,-375,-139,185,-199,-246,347,-168,-242,451,-473,-179
13:08.3,44,-376,-134,181,-199,-256,353,-167,-244,452,-471,-171
13:08.7,39,-376,-143,186,-198,-256,353,-168,-237,448,-473,-175
13:09.2,44,-376,-139,186,-200,-248,348,-169,-242,451,-476,-179
13:09.6,45,-375,-135,181,-199,-252,351,-167,-247,453,-476,-175
13:10.0,39,-375,-136,183,-199,-259,355,-169,-238,450,-475,-171
13:10.4,41,-376,-141,188,-200,-251,349,-170,-239,449,-474,-179
13:10.8,46,-375,-138,183,-200,-248,346,-168,-249,454,-474,-176
13:11.3,43,-377,-133,181,-199,-255,353,-168,-245,453,-475,-170
13:11.7,40,-376,-135,185,-199,-256,354,-169,-240,447,-475,-173
13:12.1,43,-377,-144,187,-201,-246,349,-169,-242,450,-474,-179
13:12.5,41,-376,-132,182,-200,-254,355,-168,-242,452,-476,-169
13:13.0,39,-377,-139,188,-200,-254,354,-169,-237,448,-473,-177
13:13.4,44,-376,-141,186,-199,-247,349,-169,-241,451,-471,-185
13:13.8,45,-375,-134,181,-200,-253,350,-168,-247,455,-471,-178
