time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
21:27.5,47,-198,-140,187,-22,-252,357,8,-238,455,-292,-166
21:27.9,47,-196,-150,193,-23,-239,354,6,-234,452,-289,-181
21:28.4,53,-198,-141,190,-23,-241,350,7,-244,457,-298,-174
21:28.8,51,-198,-138,185,-23,-247,356,7,-238,458,-298,-162
21:29.2,47,-198,-143,189,-26,-243,358,6,-234,453,-293,-166
21:29.6,50,-197,-145,193,-23,-240,353,5,-236,453,-292,-183
21:30.0,54,-199,-138,189,-24,-242,352,6,-244,460,-299,-165
21:30.5,49,-200,-139,187,-24,-247,358,7,-237,457,-296,-163
21:30.9,46,-200,-147,192,-24,-240,357,5,-235,453,-299,-172
21:31.3,52,-198,-144,192,-24,-239,352,6,-242,456,-291,-178
21:31.7,53,-200,-139,187,-24,-243,354,7,-242,458,-293,-173
21:32.2,48,-201,-143,189,-25,-245,359,6,-233,456,-297,-167
21:32.6,52,-199,-138,186,-23,-244,356,7,-241,459,-299,-163
21:33.0,47,-200,-145,189,-23,-243,358,5,-234,453,-299,-165
21:33.4,49,-199,-147,194,-24,-241,353,7,-240,453,-293,-177
21:33.8,53,-199,-140,188,-23,-240,350,7,-245,458,-295,-170
21:34.3,50,-198,-140,185,-23,-247,357,7,-237,457,-296,-161
21:34.7,46,-199,-146,190,-21,-246,356,5,-238,453,-293,-169
21:35.1,50,-198,-148,192,-23,-241,352,7,-238,453,-296,-172
21:35.5,53,-198,-137,187,-22,-241,351,7,-244,458,-294,-164
21:36.0,48,-198,-142,186,-24,-249,356,8,-238,455,-297,-163
21:36.4,46,-199,-148,192,-22,-241,355,7,-237,451,-298,-170
21:36.8,51,-197,-144,190,-23,-239,349,7,-243,455,-298,-170
21:37.2,52,-198,-139,186,-22,-245,352,8,-243,459,-286,-174
21:37.6,47,-198,-141,186,-22,-244,357,7,-237,454,-298,-163
21:38.1,46,-199,-147,191,-22,-242,354,7,-234,451,-298,-171
21:38.5,51,-197,-146,190,-22,-240,349,8,-242,454,-298,-168
21:38.9,51,-197,-137,185,-23,-241,352,6,-243,458,-296,-165
21:39.3,47,-198,-143,188,-21,-247,357,8,-237,453,-299,-162
21:39.7,46,-198,-150,192,-19,-240,355,7,-234,450,-295,-168
21:40.2,51,-196,-146,190,-21,-241,349,7,-245,454,-295,-169
21:40.6,51,-197,-138,186,-23,-244,353,8,-242,458,-294,-165
21:41.0,46,-198,-144,187,-23,-249,357,7,-237,453,-299,-161
21:41.4,46,-195,-150,192,-21,-243,353,7,-237,450,-296,-174
21:41.9,52,-196,-142,189,-23,-240,349,8,-243,456,-295,-171
21:42.3,50,-197,-139,185,-23,-244,352,8,-245,457,-289,-166
21:42.7,46,-196,-143,187,-22,-250,357,8,-237,454,-292,-169
21:43.1,47,-197,-148,193,-20,-241,354,7,-236,451,-293,-177
21:43.5,51,-196,-145,191,-22,-239,350,7,-243,456,-291,-177
21:44.0,52,-198,-140,188,-24,-243,354,7,-242,458,-292,-168
21:44.4,46,-198,-142,189,-21,-247,358,8,-234,455,-292,-169
21:44.8,48,-195,-149,193,-22,-241,354,7,-236,452,-290,-177
21:45.2,53,-197,-144,192,-23,-239,352,8,-238,457,-290,-173
21:45.6,53,-197,-138,187,-22,-244,356,7,-244,460,-292,-166
21:46.1,48,-197,-144,189,-22,-248,359,8,-236,456,-290,-171
21:46.5,48,-198,-148,194,-22,-235,356,8,-235,454,-284,-182
21:46.9,53,-197,-143,193,-23,-235,352,7,-241,458,-290,-174
21:47.3,53,-198,-136,187,-22,-247,356,7,-239,461,-293,-168
21:47.8,47,-197,-145,191,-23,-244,359,6,-232,455,-290,-170
21:48.2,49,-198,-148,195,-24,-238,355,5,-232,454,-285,-179
21:48.6,54,-197,-141,191,-23,-239,353,8,-242,460,-291,-172
21:49.0,52,-199,-140,187,-22,-244,356,7,-240,460,-283,-174
21:49.4,48,-198,-144,190,-23,-246,359,7,-235,455,-287,-174
21:49.9,50,-197,-147,196,-22,-241,356,7,-232,454,-291,-174
21:50.3,55,-198,-139,191,-23,-237,354,6,-243,460,-288,-174
21:50.7,52,-198,-136,188,-24,-247,359,7,-235,460,-290,-165
21:51.1,49,-200,-141,194,-23,-242,360,7,-231,455,-284,-175
21:51.6,53,-198,-144,196,-23,-239,356,6,-236,457,-294,-174
21:52.0,56,-198,-138,192,-23,-238,354,6,-240,461,-290,-173
21:52.4,54,-199,-138,190,-25,-243,360,7,-236,461,-289,-165
21:52.8,49,-199,-140,193,-23,-246,362,6,-230,457,-291,-168
21:53.2,52,-198,-146,197,-25,-237,357,7,-234,456,-293,-173
21:53.7,57,-196,-139,194,-25,-236,354,7,-240,461,-290,-168
21:54.1,54,-200,-136,190,-24,-243,360,6,-237,462,-289,-165
21:54.5,50,-199,-145,193,-22,-242,361,7,-232,456,-291,-171
21:54.9,51,-197,-146,196,-24,-239,356,5,-233,456,-288,-178
21:55.3,55,-199,-138,192,-24,-239,354,7,-240,459,-289,-169
21:55.8,52,-198,-136,188,-23,-243,356,6,-240,459,-288,-168
21:56.2,48,-197,-143,191,-23,-247,359,7,-232,455,-289,-173
21:56.6,50,-197,-148,194,-21,-240,356,6,-233,454,-287,-179
21:57.0,53,-198,-141,189,-23,-237,350,6,-241,458,-288,-179
21:57.5,51,-197,-138,187,-23,-243,354,6,-240,458,-286,-178
21:57.9,47,-198,-144,189,-22,-249,358,8,-235,454,-289,-170
21:58.3,47,-198,-148,192,-22,-243,354,8,-234,452,-283,-182
21:58.7,52,-198,-146,190,-23,-241,350,7,-243,455,-295,-171
21:59.1,51,-197,-139,187,-22,-244,353,7,-240,459,-294,-166
21:59.6,47,-197,-146,187,-22,-248,357,7,-235,455,-296,-159
22:00.0,46,-198,-150,192,-22,-243,356,8,-235,451,-295,-170
22:00.4,50,-197,-144,192,-23,-239,351,7,-239,455,-297,-171
22:00.8,52,-197,-139,186,-21,-245,352,8,-244,456,-293,-165
22:01.2,46,-197,-142,188,-23,-249,358,7,-235,455,-296,-164
22:01.7,47,-199,-149,192,-22,-245,353,7,-234,451,-297,-172
22:02.1,51,-196,-150,191,-23,-239,350,8,-241,456,-295,-173
22:02.5,51,-197,-142,186,-23,-247,352,8,-245,458,-296,-162
22:02.9,46,-197,-146,187,-22,-248,357,8,-237,455,-294,-166
22:03.4,45,-198,-148,192,-22,-244,355,7,-237,451,-295,-173
22:03.8,52,-198,-145,191,-23,-239,350,7,-243,455,-294,-173
22:04.2,51,-198,-140,187,-22,-246,355,6,-240,458,-293,-168
22:04.6,46,-198,-146,189,-21,-251,359,8,-235,454,-294,-169
22:05.9,46,-196,-144,191,-22,-246,355,8,-232,450,-292,-171
22:06.3,51,-198,-147,193,-23,-238,351,6,-237,456,-292,-177
22:06.8,54,-198,-141,188,-22,-244,353,7,-242,459,-290,-172
22:07.2,49,-198,-138,188,-23,-247,358,8,-239,459,-292,-166
22:07.6,48,-198,-148,193,-22,-245,359,6,-235,455,-290,-173
22:08.0,52,-198,-145,194,-22,-239,354,6,-237,456,-293,-174
22:08.4,55,-196,-140,190,-22,-242,354,7,-241,461,-294,-168
22:08.9,50,-199,-144,189,-22,-250,360,7,-238,457,-291,-168
22:09.3,48,-200,-150,194,-22,-244,358,7,-235,455,-296,-170
22:09.7,55,-196,-142,194,-22,-242,354,7,-240,460,-293,-172
22:10.1,54,-199,-139,189,-22,-249,360,6,-240,462,-293,-163
22:10.6,49,-198,-143,193,-22,-247,361,7,-231,456,-290,-176
22:11.0,52,-198,-150,196,-23,-242,355,7,-237,457,-292,-172
22:11.4,56,-199,-143,191,-23,-240,354,7,-241,461,-292,-168
22:11.8,51,-199,-139,191,-24,-250,361,7,-235,459,-295,-167
22:12.2,50,-199,-148,196,-24,-243,359,6,-236,456,-296,-170
22:12.7,55,-197,-145,196,-24,-235,355,6,-237,460,-295,-173
22:13.1,58,-199,-139,192,-24,-245,358,7,-240,465,-296,-166
22:13.5,52,-199,-139,194,-24,-249,364,6,-232,462,-297,-162
22:13.9,53,-198,-146,199,-22,-242,361,6,-230,460,-291,-183
22:14.3,58,-197,-143,198,-24,-238,357,6,-238,463,-293,-174
22:14.8,57,-199,-136,192,-23,-245,362,7,-238,464,-293,-167
22:15.2,52,-199,-143,197,-24,-245,363,7,-231,458,-294,-169
22:15.6,56,-200,-144,200,-25,-239,359,6,-235,461,-293,-175
22:16.0,61,-198,-139,195,-25,-237,360,7,-239,467,-290,-170
22:16.5,57,-200,-137,196,-24,-246,366,6,-233,465,-293,-165
22:16.9,56,-200,-142,201,-24,-238,366,6,-227,461,-291,-174
22:17.3,63,-199,-137,200,-26,-233,361,6,-236,469,-295,-164
22:17.7,62,-200,-134,198,-25,-240,369,6,-233,471,-294,-159
22:18.1,61,-201,-138,207,-24,-234,372,3,-222,467,-295,-167
22:18.6,65,-200,-138,207,-26,-230,366,5,-229,470,-292,-171
22:19.0,69,-200,-125,203,-26,-233,369,3,-229,476,-296,-156
22:19.4,64,-202,-128,204,-26,-238,375,3,-222,473,-295,-158
22:19.8,65,-200,-136,210,-24,-230,373,2,-220,470,-295,-165
22:20.3,70,-200,-133,207,-27,-230,369,2,-228,476,-296,-161
22:20.7,70,-200,-130,204,-27,-239,373,4,-227,478,-294,-157
22:21.1,66,-202,-131,211,-27,-232,380,3,-216,477,-294,-157
22:21.5,75,-202,-128,219,-27,-220,381,2,-213,483,-297,-150
22:21.9,84,-202,-112,220,-30,-213,384,2,-208,491,-291,-137
22:22.4,83,-203,-100,220,-30,-199,390,-1,-181,487,-304,-107
22:22.8,76,-207,-75,213,-38,-166,368,-11,-146,453,-315,-86
22:23.2,42,-214,-50,168,-49,-146,317,-16,-154,417,-320,-94
22:23.6,8,-219,-59,140,-52,-166,305,-17,-163,403,-317,-101
22:24.0,-11,-221,-77,132,-49,-186,299,-18,-178,396,-318,-119
22:24.5,-9,-222,-93,132,-52,-191,291,-22,-187,390,-320,-132
22:24.9,-12,-225,-93,124,-56,-198,288,-26,-202,392,-321,-149
22:25.3,-18,-237,-110,126,-66,-222,298,-33,-213,396,-337,-145
22:25.7,-9,-241,-120,131,-62,-214,284,-31,-201,375,-329,-156
22:26.1,-28,-233,-123,107,-59,-226,267,-25,-239,376,-321,-175
22:26.6,-32,-230,-138,106,-54,-249,279,-20,-253,387,-315,-180
22:27.0,-24,-221,-158,123,-42,-263,287,-5,-250,382,-299,-189
22:27.4,-19,-203,-163,119,-25,-261,276,8,-263,384,-284,-200
22:27.8,-21,-195,-164,114,-20,-268,280,14,-270,386,-281,-196
22:28.3,-26,-191,-173,117,-12,-281,283,19,-270,378,-281,-203
22:28.7,-24,-188,-183,118,-12,-280,276,12,-274,377,-279,-215
22:29.1,-24,-192,-182,111,-17,-283,277,10,-284,380,-287,-214
22:29.5,-31,-203,-183,113,-22,-294,281,3,-286,375,-294,-211
22:29.9,-31,-203,-193,118,-23,-295,276,3,-280,373,-291,-224
22:30.4,-26,-202,-189,113,-24,-290,275,3,-288,378,-290,-222
22:30.8,-28,-203,-186,110,-27,-296,278,5,-295,379,-292,-218
22:31.2,-32,-205,-197,117,-24,-301,279,3,-287,373,-292,-222
22:31.6,-26,-203,-199,116,-25,-291,274,2,-291,380,-293,-228
22:32.0,-25,-204,-189,111,-28,-299,279,2,-291,381,-293,-219
22:32.5,-32,-205,-193,115,-25,-300,282,2,-288,374,-293,-222
22:32.9,-28,-204,-198,119,-25,-295,275,0,-293,376,-293,-230
22:33.3,-24,-204,-189,113,-27,-293,277,3,-296,381,-293,-221
22:33.7,-29,-204,-198,115,-22,-310,284,6,-295,378,-281,-227
22:34.2,-26,-191,-205,123,-11,-300,280,11,-292,378,-290,-231
22:34.6,-21,-202,-200,115,-23,-300,278,3,-297,383,-290,-231
22:35.0,-27,-204,-196,114,-25,-308,283,2,-298,379,-291,-223
22:35.4,-29,-204,-203,120,-23,-305,280,3,-292,376,-291,-233
