08/21 20:01:54.585017,-130,-104,-256,-174,-351,-329,-60,-283,-218,0,-1,-1
08/21 20:01:55.016922,-130,-104,-256,-172,-350,-329,-61,-285,-215,0,1,-3
08/21 20:01:55.453535,-131,-105,-255,-176,-350,-328,-59,-284,-220,-1,-1,0
08/21 20:01:55.884970,-130,-102,-252,-175,-351,-326,-61,-283,-219,-2,0,-1
08/21 20:01:56.316433,-130,-103,-255,-172,-351,-329,-60,-282,-215,0,-2,-1
08/21 20:01:56.747893,-132,-103,-255,-170,-351,-329,-60,-284,-214,0,0,0
08/21 20:01:57.179302,-135,-104,-251,-169,-351,-333,-58,-284,-215,-1,1,2
08/21 20:01:57.611165,-137,-103,-249,-171,-351,-334,-57,-283,-220,-1,0,-4
08/21 20:01:58.042955,-137,-104,-249,-173,-349,-333,-54,-282,-219,-1,-1,-1
08/21 20:01:58.475059,-136,-104,-248,-174,-350,-334,-55,-282,-222,-1,0,-1
08/21 20:01:58.906872,-135,-104,-247,-175,-350,-327,-54,-283,-223,-1,0,-1
08/21 20:01:59.338987,-133,-105,-251,-176,-352,-328,-56,-284,-222,-1,-1,-2
08/21 20:01:59.770540,-133,-104,-251,-177,-352,-327,-57,-284,-221,-1,-1,1
08/21 20:02:00.202101,-130,-104,-255,-175,-351,-327,-59,-283,-220,0,-1,3
08/21 20:02:00.633573,-130,-103,-255,-174,-351,-328,-60,-284,-214,0,-1,-2
08/21 20:02:01.064920,-132,-103,-257,-172,-351,-329,-62,-283,-219,0,0,-2
08/21 20:02:01.496258,-133,-104,-255,-170,-350,-331,-60,-284,-216,0,0,1
08/21 20:02:01.927572,-135,-104,-253,-170,-351,-333,-56,-284,-212,1,-1,-2
08/21 20:02:02.359261,-136,-105,-247,-171,-349,-332,-55,-284,-218,-1,-2,0
08/21 20:02:02.791097,-136,-104,-247,-173,-350,-331,-55,-284,-222,-1,-1,2
08/21 20:02:03.222976,-135,-104,-246,-174,-349,-329,-54,-283,-222,-1,-1,3
08/21 20:02:03.654865,-134,-104,-249,-175,-349,-330,-56,-285,-223,-1,-1,0
08/21 20:02:04.086636,-133,-104,-250,-176,-351,-327,-56,-282,-222,-1,-1,-1
08/21 20:02:04.518580,-132,-105,-250,-176,-351,-327,-57,-283,-222,-1,-2,1
08/21 20:02:04.950373,-130,-104,-250,-176,-350,-327,-59,-285,-219,-1,-2,1
08/21 20:02:05.381798,-131,-104,-256,-175,-352,-325,-60,-283,-219,-1,-2,1
08/21 20:02:05.813615,-130,-104,-253,-173,-351,-328,-61,-283,-218,-1,0,-2
