,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,1,toyota,tercel,0.0,0,0.0,0.0,14:19.6,9.350935782048786,-2.6000000000000227,1.8000000000000114,-8.800000000000011,459.6,-296.8,-172.2,573.2669535216555,457,-295,-181
1,1,toyota,tercel,0.0,0,0.0,0.0,14:20.0,2.6907248094147156,2.3999999999999773,-1.1999999999999886,0.19999999999998866,459.6,-296.8,-172.2,576.0486090600341,462,-298,-172
2,1,toyota,tercel,0.0,0,0.0,0.0,14:20.4,5.799999999999995,2.3999999999999773,4.800000000000012,2.1999999999999886,459.6,-296.8,-172.2,572.3705093730807,462,-292,-170
3,1,toyota,tercel,0.0,0,0.0,0.0,14:20.8,10.669582934679331,-2.6000000000000227,6.800000000000012,-7.800000000000012,459.6,-296.8,-172.2,570.3937236681344,457,-290,-180
4,1,toyota,tercel,0.0,0,0.0,0.0,14:21.2,3.583294573433783,0.3999999999999773,-2.1999999999999886,-2.800000000000012,459.6,-296.8,-172.2,575.8697769461427,460,-299,-175
5,1,toyota,tercel,0.0,0,0.0,0.0,14:21.7,6.590902821313608,3.3999999999999773,-2.1999999999999886,5.199999999999988,459.6,-296.8,-172.2,575.8984285444786,463,-299,-167
6,1,toyota,tercel,0.0,0,0.0,0.0,14:22.1,4.29418211071678,-2.6000000000000227,-1.1999999999999886,3.1999999999999886,459.6,-296.8,-172.2,571.1514685265198,457,-298,-169
7,1,toyota,tercel,0.0,0,0.0,0.0,14:22.5,4.71593044902066,-3.6000000000000227,-1.1999999999999886,-2.800000000000012,459.6,-296.8,-172.2,572.1581949076673,456,-298,-175
8,1,toyota,tercel,0.0,0,0.0,0.0,14:22.9,6.135144660071164,2.3999999999999773,-2.1999999999999886,5.199999999999988,459.6,-296.8,-172.2,575.0947747980327,462,-299,-167
9,1,toyota,tercel,0.0,0,0.0,0.0,14:23.4,6.988562083862443,0.3999999999999773,-3.1999999999999886,6.199999999999988,459.6,-296.8,-172.2,573.7211866403401,460,-300,-166
10,1,toyota,tercel,0.0,0,0.0,0.0,14:23.8,5.607138307550486,-4.600000000000024,-3.1999999999999886,0.19999999999998866,459.6,-296.8,-172.2,571.4971565983509,455,-300,-172
11,1,toyota,tercel,0.0,0,0.0,0.0,14:24.2,3.1685959035509605,1.3999999999999773,-2.1999999999999886,-1.8000000000000114,459.6,-296.8,-172.2,576.3662030341474,461,-299,-174
12,1,toyota,tercel,0.0,0,0.0,0.0,14:24.6,7.863841300534978,2.3999999999999773,-4.199999999999989,6.199999999999988,459.6,-296.8,-172.2,575.8480702407538,462,-301,-166
13,1,toyota,tercel,0.0,0,0.0,0.0,14:25.0,5.219195340279953,-2.6000000000000227,-3.1999999999999886,3.1999999999999886,459.6,-296.8,-172.2,572.1975183448458,457,-300,-169
14,1,toyota,tercel,0.0,0,0.0,0.0,14:25.5,5.88557558782488,-4.600000000000024,-3.1999999999999886,-1.8000000000000114,459.6,-296.8,-172.2,572.1022635858034,455,-300,-174
15,1,toyota,tercel,0.0,0,0.0,0.0,14:25.9,4.565084884205307,2.3999999999999773,-3.1999999999999886,2.1999999999999886,459.6,-296.8,-172.2,576.4928447084144,462,-300,-170
