,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,0.0,toyota,tercel,0.0,0,1,0.0,12:13.6,5.1048996072400605,-3.3999999999999773,-0.8999999999999773,-3.6999999999999886,458.4,-291.1,-172.3,568.5639805685901,455,-292,-176
1,0.0,toyota,tercel,0.0,0,1,0.0,12:14.1,3.0430248109406053,2.6000000000000227,-0.8999999999999773,1.3000000000000114,458.4,-291.1,-172.3,571.8618714340029,461,-292,-171
2,0.0,toyota,tercel,0.0,0,1,0.0,12:14.5,5.537147279962869,1.6000000000000227,0.10000000000002274,5.300000000000012,458.4,-291.1,-172.3,569.3592890258312,460,-291,-167
3,0.0,toyota,tercel,0.0,0,1,0.0,12:14.9,5.143928459844656,-3.3999999999999773,1.1000000000000227,-3.6999999999999886,458.4,-291.1,-172.3,567.5394259432554,455,-290,-176
4,0.0,toyota,tercel,0.0,0,1,0.0,12:15.3,3.749666651850528,0.6000000000000227,0.10000000000002274,-3.6999999999999886,458.4,-291.1,-172.3,571.2600108532016,459,-291,-176
5,0.0,toyota,tercel,0.0,0,1,0.0,12:15.8,4.296510211788185,2.6000000000000227,-0.8999999999999773,3.300000000000012,458.4,-291.1,-172.3,571.2670128757654,461,-292,-169
6,0.0,toyota,tercel,0.0,0,1,0.0,12:16.2,2.8740215726399616,-2.3999999999999773,-0.8999999999999773,1.3000000000000114,458.4,-291.1,-172.3,567.8388856004844,456,-292,-171
7,0.0,toyota,tercel,0.0,0,1,0.0,12:16.6,4.501110973970733,-2.3999999999999773,-0.8999999999999773,-3.6999999999999886,458.4,-291.1,-172.3,569.364558082078,456,-292,-176
8,0.0,toyota,tercel,0.0,0,1,0.0,12:17.0,3.8288379438153552,3.6000000000000227,1.1000000000000227,-0.6999999999999886,458.4,-291.1,-172.3,572.2525666172237,462,-290,-173
9,0.0,toyota,tercel,0.0,0,1,0.0,12:17.4,4.822862220715019,0.6000000000000227,2.1000000000000227,4.300000000000011,458.4,-291.1,-172.3,567.8256774750504,459,-289,-168
10,0.0,toyota,tercel,0.0,0,1,0.0,12:17.9,8.417838202293963,-3.3999999999999773,0.10000000000002274,-7.699999999999988,458.4,-291.1,-172.3,569.3030827248348,455,-291,-180
11,0.0,toyota,tercel,0.0,0,1,0.0,12:18.3,4.545327270945414,1.6000000000000227,2.1000000000000227,-3.6999999999999886,458.4,-291.1,-172.3,571.0490346721548,460,-289,-176
12,0.0,toyota,tercel,0.0,0,1,0.0,12:18.7,5.025932749251647,2.6000000000000227,0.10000000000002274,4.300000000000011,458.4,-291.1,-172.3,570.461216911369,461,-291,-168
13,0.0,toyota,tercel,0.0,0,1,0.0,12:19.1,7.527283706623532,-2.3999999999999773,6.100000000000023,-3.6999999999999886,458.4,-291.1,-172.3,565.8065040276579,456,-285,-176
14,0.0,toyota,tercel,0.0,0,1,0.0,12:19.5,12.395967086113124,-1.3999999999999773,6.100000000000023,-10.699999999999989,458.4,-291.1,-172.3,568.8259839353333,457,-285,-183
15,0.0,toyota,tercel,0.0,0,1,0.0,12:20.0,6.329296959378686,2.6000000000000227,5.100000000000024,-2.6999999999999886,458.4,-291.1,-172.3,570.0368409146904,461,-286,-175
16,0.0,toyota,tercel,0.0,0,1,0.0,12:20.4,2.3366642891095935,-0.3999999999999773,0.10000000000002274,2.300000000000012,458.4,-291.1,-172.3,568.6343288968756,458,-291,-170
17,0.0,toyota,tercel,0.0,0,1,0.0,12:20.8,6.727555276621647,-3.3999999999999773,1.1000000000000227,-5.699999999999988,458.4,-291.1,-172.3,568.1628287735832,455,-290,-178
18,0.0,toyota,tercel,0.0,0,1,0.0,12:21.2,5.085272854036449,1.6000000000000227,1.1000000000000227,-4.699999999999988,458.4,-291.1,-172.3,571.8644944390236,460,-290,-177
19,0.0,toyota,tercel,0.0,0,1,0.0,12:21.7,3.009983388658512,1.6000000000000227,1.1000000000000227,2.300000000000012,458.4,-291.1,-172.3,569.7367813297644,460,-290,-170
20,0.0,toyota,tercel,0.0,0,1,0.0,12:22.1,4.8228622207149865,-3.3999999999999773,2.1000000000000227,-2.6999999999999886,458.4,-291.1,-172.3,566.7195073402714,455,-289,-175
21,0.0,toyota,tercel,0.0,0,1,0.0,12:22.5,6.087692502089765,-0.3999999999999773,2.1000000000000227,-5.699999999999988,458.4,-291.1,-172.3,570.0605231025912,458,-289,-178
22,0.0,toyota,tercel,0.0,0,1,0.0,12:22.9,11.5870617500728,3.6000000000000227,-5.899999999999977,9.300000000000011,458.4,-291.1,-172.3,572.9066241544081,462,-297,-163
23,0.0,toyota,tercel,0.0,0,1,0.0,12:23.3,12.404031602668539,-0.3999999999999773,-6.899999999999977,10.300000000000011,458.4,-291.1,-172.3,569.9228017898563,458,-298,-162
24,0.0,toyota,tercel,0.0,0,1,0.0,12:23.8,8.01623352953241,-2.3999999999999773,-6.899999999999977,3.300000000000012,458.4,-291.1,-172.3,570.3516459167977,456,-298,-169
