,Brand,Category,Forward,Backward,Sideway,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,time,Class
0,toyota,clotplus,0.0,1,0.0,4.593473631142329,-1.5,-1.0999999999999943,-4.199999999999989,50.5,-197.9,-146.8,254.56433371546768,49,-199,-151,4.3646305685590345,4.0,0.3999999999999986,1.6999999999999886,191.0,-23.4,-249.7,316.3194587754601,195,-23,-248,4.382921400162238,0.6000000000000227,-2.0999999999999996,3.8000000000000114,358.4,7.1,-245.8,432.9780594903164,359,5,-242,9.350935782048786,-2.6000000000000227,1.8000000000000114,-8.800000000000011,459.6,-296.8,-172.2,573.2669535216555,457,-295,-181,14:19.6,0.0
1,toyota,clotplus,0.0,1,0.0,5.941380311005188,3.5,-0.09999999999999432,4.800000000000011,50.5,-197.9,-146.8,249.56762610563095,54,-198,-142,5.06458290484023,1.0,-1.6000000000000014,4.699999999999989,191.0,-23.4,-249.7,312.27231705676377,192,-25,-245,4.838388161361157,-2.3999999999999773,-0.09999999999999964,-4.199999999999989,358.4,7.1,-245.8,435.0689600511625,356,7,-250,2.690724809414716,2.3999999999999773,-1.1999999999999886,0.19999999999998863,459.6,-296.8,-172.2,576.0486090600341,462,-298,-172,14:20.0,0.0
2,toyota,clotplus,0.0,1,0.0,4.08656334834052,1.5,-0.09999999999999432,3.8000000000000114,50.5,-197.9,-146.8,249.7138362205827,52,-198,-143,5.258326730053972,-3.0,0.3999999999999986,-4.300000000000011,191.0,-23.4,-249.7,316.84223203354696,188,-23,-254,4.124318125460281,3.6000000000000227,0.9000000000000004,1.8000000000000114,358.4,7.1,-245.8,436.62798810887057,362,8,-244,5.799999999999995,2.3999999999999773,4.800000000000011,2.1999999999999886,459.6,-296.8,-172.2,572.3705093730808,462,-292,-170,14:20.4,0.0
3,toyota,clotplus,0.0,1,0.0,7.176350047203653,-3.5,0.9000000000000057,-6.199999999999989,50.5,-197.9,-146.8,253.82474268676015,47,-197,-153,3.8013155617496492,3.0,0.3999999999999986,-2.3000000000000114,191.0,-23.4,-249.7,318.85576676610384,194,-23,-252,7.280796659706977,2.6000000000000227,-0.09999999999999964,6.800000000000011,358.4,7.1,-245.8,433.0023094626633,361,7,-239,10.669582934679333,-2.6000000000000227,6.800000000000011,-7.800000000000011,459.6,-296.8,-172.2,570.3937236681344,457,-290,-180,14:20.8,0.0
4,toyota,clotplus,0.0,1,0.0,3.2403703492039186,0.5,-0.09999999999999432,-3.1999999999999886,50.5,-197.9,-146.8,253.58430550804994,51,-198,-150,3.64005494464025,2.0,1.3999999999999986,2.6999999999999886,191.0,-23.4,-249.7,314.23239807505524,193,-22,-247,2.5709920264364663,-2.3999999999999773,0.9000000000000004,-0.19999999999998863,358.4,7.1,-245.8,432.8001848428441,356,8,-246,3.583294573433783,0.39999999999997726,-2.1999999999999886,-2.8000000000000114,459.6,-296.8,-172.2,575.8697769461426,460,-299,-175,14:21.2,0.0
5,toyota,clotplus,0.0,1,0.0,5.167204273105534,3.5,-0.09999999999999432,3.8000000000000114,50.5,-197.9,-146.8,250.13796193301008,54,-198,-143,3.0413812651491106,-3.0,0.3999999999999986,-0.30000000000001137,191.0,-23.4,-249.7,313.64470344643155,188,-23,-250,3.606937759374268,-1.3999999999999773,0.9000000000000004,-3.1999999999999886,358.4,7.1,-245.8,435.332057170156,357,8,-249,6.590902821313608,3.3999999999999773,-2.1999999999999886,5.199999999999989,459.6,-296.8,-172.2,575.8984285444786,463,-299,-167,14:21.7,0.0
6,toyota,clotplus,0.0,1,0.0,4.086563348340514,-3.5,-1.0999999999999943,1.8000000000000114,50.5,-197.9,-146.8,250.6691045980737,47,-199,-145,4.432832051860311,-1.0,0.3999999999999986,-4.300000000000011,191.0,-23.4,-249.7,318.03301715387977,190,-23,-254,3.1638584039113,2.6000000000000227,-0.09999999999999964,1.8000000000000114,358.4,7.1,-245.8,435.78205561954934,361,7,-244,4.29418211071678,-2.6000000000000227,-1.1999999999999886,3.1999999999999886,459.6,-296.8,-172.2,571.1514685265197,457,-298,-169,14:22.1,0.0
7,toyota,clotplus,0.0,1,0.0,6.379655163094621,-1.5,-0.09999999999999432,-6.199999999999989,50.5,-197.9,-146.8,254.97843046030383,49,-198,-153,4.780167361086839,3.0,0.3999999999999986,3.6999999999999886,191.0,-23.4,-249.7,314.1353211595283,194,-23,-246,2.4103941586387663,-2.3999999999999773,-0.09999999999999964,-0.19999999999998863,358.4,7.1,-245.8,432.78285548297777,356,7,-246,4.71593044902066,-3.6000000000000227,-1.1999999999999886,-2.8000000000000114,459.6,-296.8,-172.2,572.1581949076672,456,-298,-175,14:22.5,0.0
8,toyota,clotplus,0.0,1,0.0,4.636809247747863,2.5,0.9000000000000057,3.8000000000000114,50.5,-197.9,-146.8,249.1324948696978,53,-197,-143,3.4132096331751938,-2.0,-0.6000000000000014,2.6999999999999886,191.0,-23.4,-249.7,311.939096619837,189,-24,-247,5.514526271584872,-3.3999999999999773,-1.0999999999999996,-4.199999999999989,358.4,7.1,-245.8,434.2361108889955,355,6,-250,6.135144660071164,2.3999999999999773,-2.1999999999999886,5.199999999999989,459.6,-296.8,-172.2,575.0947747980327,462,-299,-167,14:22.9,0.0
9,toyota,clotplus,0.0,1,0.0,2.509980079602237,-1.5,0.9000000000000057,1.8000000000000114,50.5,-197.9,-146.8,249.4694370058184,49,-197,-145,6.086871117413289,-4.0,-1.6000000000000014,-4.300000000000011,191.0,-23.4,-249.7,316.4016434849857,187,-25,-254,3.522782990761717,2.6000000000000227,0.9000000000000004,-2.1999999999999886,358.4,7.1,-245.8,438.0513668509665,361,8,-248,6.988562083862442,0.39999999999997726,-3.1999999999999886,6.199999999999989,459.6,-296.8,-172.2,573.7211866403401,460,-300,-166,14:23.4,0.0
