,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
0,1,toyota,clotplus,0.0,0,0.0,3.612478373637689,-2.6000000000000014,0.19999999999998863,2.5,49.6,-198.2,-142.5,247.00809703327542,47,-198,-140,9.531526635329723,-2.6999999999999886,1.6000000000000014,-9.0,189.7,-23.6,-243.0,314.57431554403803,187,-22,-252,2.8670542373662986,2.3000000000000114,1.7000000000000002,0.19999999999998863,354.7,6.3,-238.2,429.13517683825455,357,8,-238,5.696490147450438,-0.39999999999997726,2.6999999999999886,5.0,455.4,-294.7,-171.0,565.5484064162855,455,-292,-166,0.0,21:27.5
1,1,toyota,clotplus,0.0,0,0.0,8.237111144084434,-2.6000000000000014,2.1999999999999886,-7.5,49.6,-198.2,-142.5,251.24689052802225,47,-196,-150,5.220153254455282,3.3000000000000114,0.6000000000000014,4.0,189.7,-23.6,-243.0,308.0568129420286,193,-23,-239,4.268489194082596,-0.6999999999999886,-0.2999999999999998,4.199999999999989,354.7,6.3,-238.2,424.3913288463844,354,6,-234,12.002083152519804,-3.3999999999999773,5.699999999999989,-10.0,455.4,-294.7,-171.0,566.2031437567263,452,-289,-181,0.0,21:27.9
2,1,toyota,clotplus,0.0,0,0.0,3.721558813185677,3.3999999999999986,0.19999999999998863,1.5,49.6,-198.2,-142.5,248.78504778221702,53,-198,-141,2.1095023109729008,0.30000000000001137,0.6000000000000014,2.0,189.7,-23.6,-243.0,307.74989845652266,190,-23,-241,7.4979997332622,-4.699999999999989,0.7000000000000002,-5.800000000000011,354.7,6.3,-238.2,426.7141900616852,350,7,-244,4.738143096192869,1.6000000000000227,-3.3000000000000114,-3.0,455.4,-294.7,-171.0,572.650853487533,457,-298,-174,0.0,21:28.4
3,1,toyota,clotplus,0.0,0,0.0,4.716990566028302,1.3999999999999986,0.19999999999998863,4.5,49.6,-198.2,-142.5,246.67590072806058,51,-198,-138,6.20080639917099,-4.699999999999989,0.6000000000000014,-4.0,189.7,-23.6,-243.0,309.4559742515888,185,-23,-247,1.4899664425751424,1.3000000000000114,0.7000000000000002,0.19999999999998863,354.7,6.3,-238.2,428.2861193174488,356,7,-238,9.932270636667136,2.6000000000000227,-3.3000000000000114,9.0,455.4,-294.7,-171.0,569.9228017898564,458,-298,-162,0.0,21:28.8
4,1,toyota,clotplus,0.0,0,0.0,2.6551836094703516,-2.6000000000000014,0.19999999999998863,-0.5,49.6,-198.2,-142.5,248.72072692077757,47,-198,-143,2.4999999999999956,-0.6999999999999886,-2.3999999999999986,0.0,189.7,-23.6,-243.0,308.9433605048019,189,-26,-243,5.3497663500381005,3.3000000000000114,-0.2999999999999998,4.199999999999989,354.7,6.3,-238.2,427.73356192845097,358,6,-234,5.800862004909257,-2.3999999999999773,1.6999999999999886,5.0,455.4,-294.7,-171.0,564.4590330573159,453,-293,-166,0.0,21:29.2
5,1,toyota,clotplus,0.0,0,0.0,2.801785145224375,0.3999999999999986,1.1999999999999886,-2.5,49.6,-198.2,-142.5,249.66777925875817,50,-197,-145,4.500000000000009,3.3000000000000114,0.6000000000000014,3.0,189.7,-23.6,-243.0,308.8332883612128,193,-23,-240,3.069201850644547,-1.6999999999999886,-1.2999999999999998,2.1999999999999886,354.7,6.3,-238.2,424.6527993549554,353,5,-236,12.531959144523247,-2.3999999999999773,2.6999999999999886,-12.0,455.4,-294.7,-171.0,569.1765982540041,453,-292,-183,0.0,21:29.6
6,1,toyota,clotplus,0.0,0,0.0,6.344288770224761,4.399999999999999,-0.8000000000000114,4.5,49.6,-198.2,-142.5,248.114892741246,54,-199,-138,1.2845232578665062,-0.6999999999999886,-0.3999999999999986,1.0,189.7,-23.6,-243.0,307.9951298316258,189,-24,-242,6.404685784642371,-2.6999999999999886,-0.2999999999999998,-5.800000000000011,354.7,6.3,-238.2,428.3409856644587,352,6,-244,8.697700845625832,4.600000000000023,-4.300000000000011,6.0,455.4,-294.7,-171.0,572.9101151140552,460,-299,-165,0.0,21:30.0
7,1,toyota,clotplus,0.0,0,0.0,3.981205847478882,-0.6000000000000014,-1.8000000000000114,3.5,49.6,-198.2,-142.5,248.4391273531607,49,-200,-139,4.842520005121294,-2.6999999999999886,-0.3999999999999986,-4.0,189.7,-23.6,-243.0,310.7313952596358,187,-24,-247,3.580502757993638,3.3000000000000114,0.7000000000000002,1.1999999999999886,354.7,6.3,-238.2,429.397251970713,358,7,-237,8.26135582092916,1.6000000000000227,-1.3000000000000114,8.0,455.4,-294.7,-171.0,568.3608009002733,457,-296,-163,0.0,21:30.5
8,1,toyota,clotplus,0.0,0,0.0,6.037383539249436,-3.6000000000000014,-1.8000000000000114,-4.5,49.6,-198.2,-142.5,252.43811122728675,46,-200,-147,3.8013155617496492,2.3000000000000114,-0.3999999999999986,3.0,189.7,-23.6,-243.0,308.2855818879631,192,-24,-240,4.149698784249283,2.3000000000000114,-1.2999999999999998,3.1999999999999886,354.7,6.3,-238.2,427.4330356909723,357,5,-235,5.024937810560444,-2.3999999999999773,-4.300000000000011,-1.0,455.4,-294.7,-171.0,569.3803649582588,453,-299,-172,0.0,21:30.9
9,1,toyota,clotplus,0.0,0,0.0,2.8372521918222198,2.3999999999999986,0.19999999999998863,-1.5,49.6,-198.2,-142.5,250.28783430282823,52,-198,-144,4.63141447076377,2.3000000000000114,-0.3999999999999986,4.0,189.7,-23.6,-243.0,307.50772348024043,192,-24,-239,4.6711882856506675,-2.6999999999999886,-0.2999999999999998,-3.8000000000000114,354.7,6.3,-238.2,427.20486888611185,352,6,-242,7.940403012442123,0.6000000000000227,3.6999999999999886,-7.0,455.4,-294.7,-171.0,569.4743189995489,456,-291,-178,0.0,21:31.3
