magX	magY	magZ				magX	magY	magZ
-241	104	-149				-228	104	-172
-242	105	-151				-228	104	-171
-242	105	-151				-228	102	-169
-242	105	-151				-228	102	-169
-242	105	-151				-228	102	-169
-242	105	-151				-228	102	-169
-242	105	-151				-228	102	-169
-247	106	-152				-228	102	-169
-241	105	-150				-228	102	-169
-239	101	-149				-229	100	-168
-239	103	-150				-229	101	-169
-239	104	-152				-229	102	-171
-239	106	-155				-229	103	-171
-240	107	-156				-229	102	-170
-240	106	-154				-229	102	-168
