,MagX,MagY,MagZ
0,-345.15384615384613,-103.13846153846154,-144.15384615384616
1,-412.53125,-23.765625,-134.046875
2,0.0,0.0,0.0
3,-404.16923076923075,-80.12307692307692,-125.67692307692307
4,-473.67164179104475,-95.40298507462687,249.38805970149255
5,-341.78125,-50.890625,-88.59375
6,-217.0,149.36363636363637,-142.3030303030303
7,-467.75757575757575,-211.3181818181818,38.09090909090909
8,-451.2857142857143,38.464285714285715,-11.107142857142858
9,-148.52238805970148,246.29850746268656,-62.64179104477612
10,-129.16129032258064,106.54838709677419,-123.95161290322581
11,-467.3731343283582,-110.04477611940298,-33.61194029850746
12,-535.8181818181819,-247.54545454545453,80.5
13,-114.046875,253.28125,-117.484375
