,MagX,MagY,MagZ
0,-338.3,19.7,-115.16666666666667
1,-260.7450980392157,21.45098039215686,-172.7450980392157
2,-266.0,239.65714285714284,-141.94285714285715
3,-285.96774193548384,48.483870967741936,-216.41935483870967
4,-756.1176470588235,-208.23529411764707,140.64705882352942
5,-262.97727272727275,-65.97727272727273,-145.4318181818182
6,-218.30769230769232,153.87179487179486,-137.48717948717947
7,-361.7719298245614,-32.75438596491228,-104.19298245614036
8,-501.7857142857143,-100.54761904761905,275.7142857142857
9,-253.69565217391303,48.391304347826086,-148.52173913043478
10,-231.0,-63.54838709677419,-167.58064516129033
11,-172.2093023255814,83.44186046511628,-242.09302325581396
12,-249.5818181818182,0.6727272727272727,-162.0
13,0.0,0.0,0.0
