,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,Mag4_CarLen,Mag4_CarX,Mag4_CarY,Mag4_CarZ,Mag4_EnvX,Mag4_EnvY,Mag4_EnvZ,Mag4_Len,Mag4_X,Mag4_Y,Mag4_Z,Sideway,time
10,1,nisson,0,0,0,2,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,3.385262176,1.6,-2.3,1.9,187.4,-87.7,-162.9,264.0871068417,189,-90,-161,2.7440845468,1.3,2.2,-1,204.7,-64.2,-254,333.6240399012,206,-62,-255,3.0854497241,-1.2,-2.2,1.8,314.2,-46.8,-223.8,386.8513926561,313,-49,-222,3.0870698081,1.1,-2.4,-1.6,320.9,-128.6,-133.4,372.9209031417,322,-131,-135,0,15:08.1
11,1,nisson,0,0,0,0,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,3.8548670535,0.6,3.7,0.9,187.4,-87.7,-162.9,262,188,-84,-162,2.1748563171,-0.7,-1.8,1,204.7,-64.2,-254,331.6338342208,204,-66,-253,4.3497126342,0.8,-4.2,0.8,314.2,-46.8,-223.8,389.3006550213,315,-51,-223,2.8513154859,1.1,2.6,0.4,320.9,-128.6,-133.4,370.4713214272,322,-126,-133,0,15:08.6
12,1,nisson,0,0,0,0,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,2.5019992006,-0.4,-2.3,0.9,187.4,-87.7,-162.9,263.2736219221,187,-90,-162,2.5159491251,1.3,-0.8,2,204.7,-64.2,-254,331.9111326846,206,-65,-252,2.9189039039,-0.2,2.8,0.8,314.2,-46.8,-223.8,387.6351377262,314,-44,-223,2.3937418407,-1.9,-1.4,0.4,320.9,-128.6,-133.4,369.2560087527,319,-130,-133,0,15:09.5
13,1,nisson,0,0,0,0,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,3.8807215824,1.6,1.7,-3.1,187.4,-87.7,-162.9,265.8439391824,189,-86,-166,3.4249087579,-0.7,3.2,-1,204.7,-64.2,-254,332.207766315,204,-61,-255,3.6769552622,-0.2,-3.2,1.8,314.2,-46.8,-223.8,387.7886022049,314,-50,-222,1.3152946438,1.1,0.6,0.4,320.9,-128.6,-133.4,371.1563013071,322,-128,-133,0,15:10.4
14,1,nisson,0,0,0,0,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,1.5684387141,-1.4,0.7,-0.1,187.4,-87.7,-162.9,262.1716994643,186,-87,-163,2.0808652047,0.3,-1.8,-1,204.7,-64.2,-254,333.7753735673,205,-66,-255,1.6492422502,0.8,0.8,-1.2,314.2,-46.8,-223.8,389.8281672737,315,-46,-225,1.2369316877,-0.9,0.6,-0.6,320.9,-128.6,-133.4,369.7837205719,320,-128,-134,0,15:11.3
15,1,nisson,0,0,0,0,bluebird,0,0,187,-89,-164.5,205.5,-64,-253.75,313.75,-45.75,-223.5,320.75,-129.5,-131.25,0,1.6911534525,0.6,-1.3,0.9,187.4,-87.7,-162.9,263.6455954496,188,-89,-162,3.2756678708,-0.7,3.2,0,204.7,-64.2,-254,331.4407941096,204,-61,-254,3.2741411087,-1.2,-1.2,2.8,314.2,-46.8,-223.8,386.1528194899,313,-48,-221,2.4351591324,0.1,-2.4,0.4,320.9,-128.6,-133.4,371.3367743707,321,-131,-133,0,15:12.3
16,1,nisson,0,0,0,0,bluebird,0,0,187,-88.8,-164.325,205.425,-64.1,-253.6125,313.8125,-45.8125,-223.425,320.7625,-129.275,-131.4375,0,3.3256578297,-0.4,2.7,1.9,187.4,-87.7,-162.9,260.988505494,187,-85,-161,3.567912555,-0.7,-1.8,3,204.7,-64.2,-254,330.1105875309,204,-66,-251,1.9798989873,0.8,-0.2,1.8,314.2,-46.8,-223.8,388.2241620507,315,-47,-222,3.940812099,0.1,3.6,-1.6,320.9,-128.6,-133.4,369.9878376379,321,-125,-135,0,15:13.2
17,1,nisson,0,0,0,0,bluebird,0,0,187.05,-88.76,-164.05875,205.35375,-63.895,-253.531875,313.621875,-45.871875,-223.30375,320.724375,-129.31125,-131.315625,0,3.9572717875,0.6,-0.3,3.9,187.4,-87.7,-162.9,261.4746641646,188,-88,-159,4.7042533945,-0.7,4.2,2,204.7,-64.2,-254,329.7271599368,204,-60,-252,5.0517323761,-4.2,-0.2,2.8,314.2,-46.8,-223.8,383.6013555763,310,-47,-221,4.7042533945,-0.9,-1.4,4.4,320.9,-128.6,-133.4,368.7017765078,320,-130,-129,0,15:16.1
18,1,nisson,0,0,0,0,bluebird,0,0,186.9475,-88.822,-164.0058125,205.3360625,-63.85025,-253.5552813,313.4907813,-45.77828125,-223.3385625,320.5381563,-129.3456875,-131.3498438,0,3.3256578297,-2.4,-2.3,-0.1,187.4,-87.7,-162.9,262.4766656295,185,-90,-163,1.2369316877,0.3,1.2,0,204.7,-64.2,-254,332.4304438525,205,-63,-254,4.2567593308,-3.2,2.8,-0.2,314.2,-46.8,-223.8,385.7888023258,311,-44,-224,4.3737855457,-3.9,-1.4,1.4,320.9,-128.6,-133.4,367.168898465,317,-130,-132,0,15:19.0
19,1,nisson,0,0,0,0,bluebird,0,0,186.850125,-88.5809,-163.9555219,205.1692594,-63.9077375,-253.5275172,313.4662422,-45.93936719,-223.1716344,320.4112484,-129.1284031,-131.4823516,0,4.411349,-2.4,3.7,-0.1,187.4,-87.7,-162.9,260.4803255526,185,-84,-163,2.9883105595,-2.7,-0.8,1,204.7,-64.2,-254,330.2090247101,202,-65,-253,4.5519226707,-1.2,-2.2,3.8,314.2,-46.8,-223.8,385.707142791,313,-49,-220,4.6615448083,-2.9,3.6,-0.6,320.9,-128.6,-133.4,367.0217977178,318,-125,-134,0,15:21.9
