,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance,Mag_detect_rate,Mag_detect_sendflag,Mag_detect_status,Mag_detect_envbias
0,1,toyota,tercel,0.0,0,0.0,0.0,14:19.6,4.593473631142329,-1.5,-1.0999999999999943,-4.199999999999989,50.5,-197.9,-146.8,254.56433371546768,49,-199,-151,28.610354223433056,605.0436395986412,-1.6342482616886838,4.197210275682531,4.593473631142329,22.892585724242604,41.97210275682531,41.97210275682531,6.199999999999989,6.799999999999983,1.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
1,1,toyota,tercel,0.0,0,0.0,0.0,14:20.0,5.941380311005187,3.5,-0.09999999999999433,4.800000000000012,50.5,-197.9,-146.8,249.56762610563086,54,-198,-142,-32.697547683923744,613.9406135149204,155.99065422703367,-1.0526403025752389,5.941380311005188,36.82654342035682,-10.52640302575239,-10.52640302575239,9.800000000000011,8.400000000000006,1.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
2,1,toyota,tercel,0.0,0,0.0,0.0,14:20.4,4.08656334834052,1.5,-0.09999999999999433,3.8000000000000114,50.5,-197.9,-146.8,249.7138362205827,52,-198,-143,-25.885558583106373,610.6066719083116,74.63208274888721,-1.231479892033821,4.08656334834052,24.55472079166482,-12.31479892033821,-12.31479892033821,7.800000000000011,5.400000000000006,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
3,1,toyota,tercel,0.0,0,0.0,0.0,14:20.8,7.176350047203653,-3.5,0.9000000000000057,-6.199999999999987,50.5,-197.9,-146.8,253.82474268676015,47,-197,-153,42.23433242506802,602.3828380870629,-1.4622486601089633,6.85163362149673,7.176350047203653,45.420664868098676,68.51633621496731,68.51633621496731,14.199999999999989,10.599999999999994,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
4,1,toyota,tercel,0.0,0,0.0,0.0,14:21.2,3.240370349203918,0.5,-0.09999999999999433,-3.1999999999999886,50.5,-197.9,-146.8,253.58430550805,51,-198,-150,21.79836512261568,608.9129879635157,0.05695001837566891,2.8134394719155296,3.2403703492039186,14.215832501866366,28.1343947191553,28.1343947191553,7.399999999999977,3.799999999999983,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
5,1,toyota,tercel,0.0,0,0.0,0.0,14:21.7,5.1672042731055345,3.5,-0.09999999999999433,3.8000000000000114,50.5,-197.9,-146.8,250.1379619330101,54,-198,-143,-25.885558583106373,613.9406135149204,151.05713802511465,-0.6016721485830545,5.167204273105534,31.823774071200074,-6.016721485830545,-6.016721485830545,7.800000000000011,7.400000000000006,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
6,1,toyota,tercel,0.0,0,0.0,0.0,14:22.1,4.086563348340514,-3.5,-1.0999999999999943,1.8000000000000114,50.5,-197.9,-146.8,250.6691045980737,47,-199,-145,-12.261580381471514,601.5407149667728,-132.7697639877054,0.8090599315632468,4.086563348340514,25.53981295930438,8.090599315632469,8.090599315632469,10.600000000000023,6.400000000000006,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
7,1,toyota,tercel,0.0,0,0.0,0.0,14:22.5,6.379655163094621,-1.5,-0.09999999999999433,-6.199999999999987,50.5,-197.9,-146.8,254.97843046030383,49,-198,-153,42.23433242506802,605.4721817830374,-0.838096045284708,6.110014896716373,6.379655163094621,35.277118523818736,61.10014896716373,61.10014896716373,12.199999999999989,7.799999999999983,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
8,1,toyota,tercel,0.0,0,0.0,0.0,14:22.9,4.6368092477478635,2.5,0.9000000000000057,3.8000000000000114,50.5,-197.9,-146.8,249.1324948696978,53,-197,-143,-25.885558583106373,612.7303747834188,119.63053109411814,-0.9978662283049888,4.636809247747863,25.55458727242432,-9.97866228304989,-9.97866228304989,5.800000000000011,7.200000000000017,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
9,1,toyota,tercel,0.0,0,0.0,0.0,14:23.4,2.509980079602237,-1.5,0.9000000000000057,1.8000000000000114,50.5,-197.9,-146.8,249.4694370058184,49,-197,-145,-12.261580381471514,605.903978496169,-43.58306791075766,-0.5027436730158347,2.509980079602237,9.640073825741863,-5.027436730158347,-5.027436730158347,6.600000000000023,4.200000000000017,3.0,0,0,"[50.410125656633916, -198.71194437846506, -148.19047447909887]"
