,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
20,1,nisson,0,0,0,0,bluebird,0.0,0,186.9076188,-88.551855,-163.80774580000002,205.06079640000002,-63.76235063,-253.6511413,313.29293010000004,-46.09239883,-222.96305269999996,320.39068599999996,-129.221983,-131.558234,0,0,15:24.9,2.5942243542,-0.9,-2.4,0.4,320.9,-128.6,-133.4,370.4726710569,320,-131,-133
21,1,nisson,0,0,0,0,bluebird,0.0,0,186.8122378,-88.62426225,-163.7173585,205.05775659999998,-63.77423309,-253.71858430000003,313.1782836,-45.98777889,-223.0149,320.2711517,-129.2608838,-131.6303223,0,0,15:27.8,3.2449961479000002,-2.9,-1.4,0.4,320.9,-128.6,-133.4,368.3924537772,318,-130,-133
22,1,nisson,0,0,0,0,bluebird,0.0,0,186.72162590000002,-88.49304914,-163.7314906,205.0048688,-63.93552144,-253.53265499999998,313.1693694,-45.93838994,-222.96415499999998,320.10759410000003,-129.0478396,-131.6488062,0,0,15:30.7,5.4890800686,-3.9,3.6,1.4,320.9,-128.6,-133.4,365.4285155814,317,-125,-132
23,1,nisson,0,0,0,0,bluebird,0.0,0,186.7355446,-88.21839668,-163.644916,204.8546253,-63.98874537,-253.55602230000002,313.11090089999993,-46.14147045,-222.86594730000002,320.1022144,-128.7954476,-131.7163659,0,0,15:33.6,4.7042533945,-0.9,4.6,0.4,320.9,-128.6,-133.4,368.0557023061,320,-124,-133
24,1,nisson,0,0,0,0,bluebird,0.0,0,186.7987674,-88.20747685,-163.4626702,204.8118941,-63.7893081,-253.4282212,313.0053559,-46.28439692,-222.7226499,320.1471037,-128.9056753,-131.5805476,0,0,15:36.6,5.0129831438,0.1,-2.4,4.4,320.9,-128.6,-133.4,369.92296495349996,321,-131,-129
25,1,nisson,0,0,0,0,bluebird,0.0,0,186.758829,-88.147103,-163.3395367,204.8712994,-63.94984269,-253.20681009999998,313.0550881,-46.22017708,-222.6865174,320.0397485,-128.9103915,-131.6015202,0,0,15:39.5,3.2449961479000002,-2.9,-0.4,1.4,320.9,-128.6,-133.4,367.6805678847,318,-129,-132
26,1,nisson,0,0,0,0,bluebird,0.0,0,186.6708876,-87.93974785,-163.4225599,204.7777344,-64.05235056,-253.1464696,313.05233369999996,-46.25916822,-222.65219150000001,319.9377611,-128.7148719,-131.6714442,0,0,15:42.4,4.6400431032,-2.9,3.6,0.4,320.9,-128.6,-133.4,366.6578786826,318,-125,-133
27,1,nisson,0,0,0,0,bluebird,0.0,0,186.6873432,-87.74276046,-163.20143190000002,204.63884769999999,-64.09973303,-253.08914610000002,313.099717,-46.44620981,-222.419582,319.940873,-128.5791283,-131.737872,0,0,15:45.3,2.7802877549000002,-0.9,2.6,0.4,320.9,-128.6,-133.4,368.7343217006,320,-126,-133
28,1,nisson,0,0,0,0,bluebird,0.0,0,186.752976,-87.80562244,-163.09136030000002,204.6069053,-63.94474638,-253.03468880000003,312.9947311,-46.57389932,-222.29860290000002,319.9938294,-128.6501719,-131.7009784,0,0,15:48.3,2.7802877549000002,0.1,-1.4,2.4,320.9,-128.6,-133.4,370.27287235230006,321,-130,-131
29,1,nisson,0,0,0,0,bluebird,0.0,0,186.7153272,-87.86534132,-162.9367923,204.72656,-63.94750906,-252.93295440000003,312.94499460000003,-46.49520436,-222.2336727,319.9441379,-128.7176633,-131.7659295,0,0,15:51.2,2.3937418406999997,-1.9,-1.4,0.4,320.9,-128.6,-133.4,369.2560087527,319,-130,-133
30,1,nisson,0,0,0,0,bluebird,0.0,0,186.6795609,-87.72207425,-162.83995269999997,204.690232,-64.10013361,-252.88630669999998,312.9477449,-46.57044414,-222.1719891,319.896931,-128.53178020000001,-131.777633,0,0,15:54.1,4.30464865,-1.9,3.6,1.4,320.9,-128.6,-133.4,367.1648131289,319,-125,-132
31,1,nisson,0,0,0,0,bluebird,0.0,0,186.74558280000002,-87.78597054,-162.647955,204.70572040000002,-63.94512693,-252.7919913,312.80035760000004,-46.64192193,-222.11338959999998,319.9020845,-128.60519109999998,-131.8387513,0,0,15:57.0,1.7117242769,-0.9,-1.4,0.4,320.9,-128.6,-133.4,370.1202507294,320,-130,-133
32,1,nisson,0,0,0,0,bluebird,0.0,0,186.65830369999998,-87.79667201,-162.56555730000002,204.72043440000002,-64.09787058,-252.8523918,312.8103397,-46.50982583,-222.10772020000002,319.7569802,-128.52493159999997,-132.0468138,0,0,16:00.0,4.9527769988,-3.9,1.6,-2.6,320.9,-128.6,-133.4,367.57856303110003,317,-127,-136
33,1,nisson,0,0,0,0,bluebird,0.0,0,186.7253885,-87.55683841,-162.4372794,204.58441269999997,-63.99297705,-252.90977220000002,312.7698228,-46.68433454,-222.1023341,319.7191312,-128.398685,-132.0444731,0,0,16:02.9,3.5114099732,-1.9,2.6,1.4,320.9,-128.6,-133.4,367.5064625282,319,-126,-132
34,1,nisson,0,0,0,0,bluebird,0.0,0,186.73911909999998,-87.62899649,-162.3654155,204.655192,-64.0933282,-252.9142836,312.6813316,-46.60011782,-222.0972174,319.6331747,-128.4787508,-132.0422494,0,0,16:05.8,3.5114099732,-2.9,-1.4,1.4,320.9,-128.6,-133.4,368.032607251,318,-130,-132
35,1,nisson,0,0,0,0,bluebird,0.0,0,186.8021631,-87.54754667,-162.3471447,204.5224324,-64.03866179,-252.91856940000002,312.74726499999997,-46.72011192,-221.9423566,319.7015159,-128.4048132,-132.04013700000002,0,0,16:08.8,2.1283796654,0.1,1.6,1.4,320.9,-128.6,-133.4,369.5862551557,321,-127,-132
36,1,nisson,0,0,0,0,bluebird,0.0,0,186.762055,-87.67016933,-162.2797874,204.5963108,-64.0367287,-253.0226409,312.6599018,-46.63410633,-221.99523870000002,319.61644010000003,-128.4845726,-132.0881301,0,0,16:11.7,3.2449961479000002,-2.9,-1.4,0.4,320.9,-128.6,-133.4,368.3924537772,318,-130,-133
37,1,nisson,0,0,0,0,bluebird,0.0,0,186.82395219999998,-87.58666087,-162.26579809999998,204.46649530000002,-64.03489226,-253.02150890000001,312.67690669999996,-46.80240101,-221.8954768,319.63561810000004,-128.4603439,-132.1837236,0,0,16:14.6,1.2369316877,-0.9,0.6,-0.6,320.9,-128.6,-133.4,369.7837205719,320,-128,-134
38,1,nisson,0,0,0,0,bluebird,0.0,0,186.7327546,-87.60732782,-162.20250819999998,204.5431705,-64.13314765,-252.97043340000002,312.6930614,-46.71228096,-221.85070299999998,319.6038372,-128.4373267,-132.2245374,0,0,16:17.5,2.0322401433,-1.9,0.6,0.4,320.9,-128.6,-133.4,368.5566442218,319,-128,-133
39,1,nisson,0,0,0,0,bluebird,0.0,0,186.7961169,-87.67696143,-162.09238280000002,204.51601200000002,-64.02649027,-252.82191180000004,312.6084083,-46.77666691,-221.80816780000004,319.6736454,-128.5154604,-132.2633105,0,0,16:20.5,1.4594519519,0.1,-1.4,0.4,320.9,-128.6,-133.4,370.985174906,321,-130,-133
40,1,nisson,0,0,0,0,bluebird,0.0,0,186.756311,-87.49311336,-162.1377636,204.4402114,-64.02516576,-252.83081620000002,312.6279879,-46.88783357,-221.8177594,319.6899631,-128.3896874,-132.300145,0,0,16:23.4,2.7802877549000002,-0.9,2.6,0.4,320.9,-128.6,-133.4,368.7343217006,320,-126,-133
41,1,nisson,0,0,0,0,bluebird,0.0,0,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:26.3,5.615158056499999,-2.9,-3.4,3.4,320.9,-128.6,-133.4,368.032607251,318,-132,-130
42,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:29.2,18.2299204606,7.1,-16.4,-3.6,320.9,-128.6,-133.4,383.8984240655,328,-145,-137
43,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:30.2,14.9107343884,9.1,-10.4,-5.6,320.9,-128.6,-133.4,384.1119628442,330,-139,-139
44,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:31.1,18.1859836138,8.1,-14.4,-7.6,320.9,-128.6,-133.4,385.4490887264,329,-143,-141
45,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:32.0,19.3424403838,11.1,-14.4,-6.6,320.9,-128.6,-133.4,387.6506158901,332,-143,-140
46,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:33.1,19.7567709912,10.1,-12.4,-11.6,320.9,-128.6,-133.4,387.90076050449994,331,-141,-145
47,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:34.0,16.8264672466,9.1,-10.4,-9.6,320.9,-128.6,-133.4,385.5774889695,330,-139,-143
48,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:34.9,17.4335882709,7.1,-13.4,-8.6,320.9,-128.6,-133.4,384.5932916732,328,-142,-142
49,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:35.9,18.7331257402,11.1,-12.4,-8.6,320.9,-128.6,-133.4,387.64545657080004,332,-141,-142
50,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:36.8,14.495861478399998,8.1,-8.4,-8.6,320.9,-128.6,-133.4,383.6326367764,329,-137,-142
51,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:37.7,19.4455650471,8.1,-12.4,-12.6,320.9,-128.6,-133.4,386.5721148764,329,-141,-146
52,1,nisson,2,2,2,2,bluebird,70.2200825975,2,186.6684955,-87.61845769,-162.03087539999999,204.4682008,-64.12390747,-252.88927540000003,312.5465885,-46.89344189,-221.8768715,319.60546489999996,-128.570203,-132.1851378,0,0,16:38.6,17.3991379097,10.1,-9.4,-10.6,320.9,-128.6,-133.4,386.44663279680003,331,-138,-144
