,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
0,1,toyota,clotplus,0.0,0,0.0,0.0,21:27.5,2.8670542373662986,2.300000000000012,1.7000000000000002,0.19999999999998866,354.7,6.3,-238.2,429.13517683825455,357,8,-238,-0.8396305625524292,488.67283722789523,0.46754155300660544,0.4881779967182047,2.8670542373662986,8.562642615193532,4.881779967182047,4.881779967182047,4.2000000000000455,4.2
1,1,toyota,clotplus,0.0,0,0.0,0.0,21:27.9,4.268489194082596,-0.6999999999999886,-0.2999999999999998,4.199999999999989,354.7,6.3,-238.2,424.3913288463843,354,6,-234,-17.63224181360201,491.4548377553428,-6.692175880390385,-1.2973756047909397,4.268489194082596,10.725617584933293,-12.973756047909399,-12.973756047909399,9.799999999999955,5.199999999999977
2,1,toyota,clotplus,0.0,0,0.0,0.0,21:28.4,7.4979997332622,-4.699999999999988,0.7000000000000002,-5.800000000000013,354.7,6.3,-238.2,426.7141900616852,350,7,-244,24.34928631402178,489.9020293902034,-5.93756364100175,3.5871985725510473,7.4979997332622,25.888976797811484,35.87198572551047,35.87198572551047,13.000000000000023,11.2
3,1,toyota,clotplus,0.0,0,0.0,0.0,21:28.8,1.4899664425751424,1.3000000000000114,0.7000000000000002,0.19999999999998866,354.7,6.3,-238.2,428.2861193174488,356,7,-238,-0.8396305625524292,490.07380974613704,0.7103751199855789,0.18981764892459907,1.4899664425751424,4.47956262695874,1.8981764892459907,1.8981764892459907,2.2000000000000455,2.2
4,1,toyota,clotplus,0.0,0,0.0,0.0,21:29.2,5.3497663500381005,3.300000000000012,-0.2999999999999998,4.199999999999989,354.7,6.3,-238.2,427.73356192845085,358,6,-234,-17.63224181360201,491.5510806605921,-9.617162810748882,-1.0029456158580392,5.3497663500381005,17.978285170104275,-10.029456158580393,-10.029456158580393,8.999999999999977,7.8
5,1,toyota,clotplus,0.0,0,0.0,0.0,21:29.6,3.069201850644547,-1.6999999999999886,-1.2999999999999998,2.1999999999999886,354.7,6.3,-238.2,424.6527993549554,353,5,-236,-9.235936188077165,492.8684080112849,-0.3988997942374901,-0.5082345878700237,3.069201850644547,5.85049086511827,-5.082345878700238,-5.082345878700238,7.7999999999999545,5.199999999999977
6,1,toyota,clotplus,0.0,0,0.0,0.0,21:30.0,6.404685784642371,-2.6999999999999886,-0.2999999999999998,-5.800000000000013,354.7,6.3,-238.2,428.3409856644587,352,6,-244,24.34928631402178,491.40588953052816,11.288028404967823,3.339298727266122,6.404685784642371,21.23829700742947,33.392987272661216,33.392987272661216,11.000000000000023,8.8
7,1,toyota,clotplus,0.0,0,0.0,0.0,21:30.5,3.5805027579936377,3.300000000000012,0.7000000000000002,1.1999999999999886,354.7,6.3,-238.2,429.39725197071294,358,7,-237,-5.037783375314797,490.1297787830453,2.3382007733589987,0.016451009394751435,3.580502757993638,10.710864153698864,0.16451009394751437,0.16451009394751437,5.200000000000022,5.2
8,1,toyota,clotplus,0.0,0,0.0,0.0,21:30.9,4.149698784249283,2.300000000000012,-1.2999999999999998,3.1999999999999886,354.7,6.3,-238.2,427.4330356909723,357,5,-235,-13.434089000839533,492.9488535922081,-1.6861495090365415,-0.5252696398169299,4.149698784249283,15.832702241954967,-5.252696398169299,-5.252696398169299,8.999999999999977,6.8
9,1,toyota,clotplus,0.0,0,0.0,0.0,21:31.3,4.671188285650668,-2.6999999999999886,-0.2999999999999998,-3.8000000000000114,354.7,6.3,-238.2,427.2048688861119,352,6,-242,15.952980688497043,491.40588953052816,8.762077554137141,2.277398510014741,4.6711882856506675,15.848916373173449,22.773985100147407,22.773985100147407,7.000000000000023,6.8
