,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
0,1,toyota,tercel,0.0,0,0.0,0.0,14:19.6,4.382921400162238,0.6000000000000227,-2.1,3.8000000000000114,358.4,7.1,-245.8,432.9780594903164,359,5,-242,-15.459723352319044,492.9883997161254,-0.953687238359161,-0.6107149181664804,4.382921400162238,15.94829165057884,-6.107149181664804,-6.107149181664804,11.800000000000022,6.500000000000034
1,1,toyota,tercel,0.0,0,0.0,0.0,14:20.0,4.8383881613611575,-2.3999999999999773,-0.09999999999999963,-4.199999999999989,358.4,7.1,-245.8,435.0689600511625,356,7,-250,17.08706265256299,490.07380974613704,25.704839623084265,2.3647528098829076,4.838388161361157,15.666521602876172,23.647528098829074,23.647528098829074,8.199999999999978,6.6999999999999655
2,1,toyota,tercel,0.0,0,0.0,0.0,14:20.4,4.124318125460281,3.6000000000000227,0.9000000000000004,1.8000000000000114,358.4,7.1,-245.8,436.62798810887057,362,8,-244,-7.323026851098535,488.8309218273181,2.2671423802076025,-0.08306777015321815,4.124318125460281,13.179717386639297,-0.8306777015321815,-0.8306777015321815,5.400000000000045,6.3000000000000345
3,1,toyota,tercel,0.0,0,0.0,0.0,14:20.8,7.2807966597069775,2.6000000000000227,-0.09999999999999963,6.800000000000013,358.4,7.1,-245.8,433.00230946266333,361,7,-239,-27.66476810414975,490.21255915034504,-54.110940917271165,-1.8357982643384025,7.280796659706977,22.862174340250434,-18.357982643384027,-18.357982643384027,13.800000000000022,9.500000000000034
4,1,toyota,tercel,0.0,0,0.0,0.0,14:21.2,2.5709920264364663,-2.3999999999999773,0.9000000000000004,-0.19999999999998866,358.4,7.1,-245.8,432.80018484284415,356,8,-246,0.8136696501219731,488.6406819825055,-0.9423949083337779,0.4988286707169588,2.5709920264364663,7.050747791791302,4.988286707169588,4.988286707169588,6.599999999999955,3.4999999999999662
5,1,toyota,tercel,0.0,0,0.0,0.0,14:21.7,3.606937759374268,-1.3999999999999773,0.9000000000000004,-3.1999999999999886,358.4,7.1,-245.8,435.332057170156,357,8,-249,13.01871440195268,488.67283722789523,-2.210025925753044,1.9572648451924055,3.606937759374268,13.015615056058392,19.572648451924056,19.572648451924056,8.199999999999978,5.499999999999966
6,1,toyota,tercel,0.0,0,0.0,0.0,14:22.1,3.1638584039113,2.6000000000000227,-0.09999999999999963,1.8000000000000114,358.4,7.1,-245.8,435.7820556195493,361,7,-244,-7.323026851098535,490.21255915034504,-14.043912363898771,-0.3231175729540587,3.1638584039113,9.694431995434165,-3.231175729540587,-3.231175729540587,5.400000000000045,4.500000000000034
7,1,toyota,tercel,0.0,0,0.0,0.0,14:22.5,2.4103941586387663,-2.3999999999999773,-0.09999999999999963,-0.19999999999998866,358.4,7.1,-245.8,432.78285548297777,356,7,-246,0.8136696501219731,490.07380974613704,12.40053036048585,0.29668152534739617,2.4103941586387663,5.052035703156696,2.966815253473962,2.966815253473962,4.599999999999955,2.6999999999999655
8,1,toyota,tercel,0.0,0,0.0,0.0,14:22.9,5.514526271584872,-3.3999999999999773,-1.0999999999999996,-4.199999999999989,358.4,7.1,-245.8,434.23611088899554,355,6,-250,17.08706265256299,491.4791034145976,2.7994975079345856,2.6653063246015893,5.514526271584872,19.774160108425797,26.653063246015893,26.653063246015893,6.199999999999978,8.699999999999966
9,1,toyota,tercel,0.0,0,0.0,0.0,14:23.4,3.522782990761717,2.6000000000000227,0.9000000000000004,-2.1999999999999886,358.4,7.1,-245.8,438.0513668509665,361,8,-248,8.950366151342593,488.79965877199146,-0.24466354697901457,1.1349615989152735,3.522782990761717,3.027407058761141,11.349615989152737,11.349615989152737,9.600000000000023,5.700000000000012
