,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,0.0,toyota,clotplus,0.0,0,1,5.991660871578099,-2.200000000000003,0.9000000000000057,-5.5,50.2,-195.9,-145.5,251.2568407028951,48,-195,-151,5.379591062525095,4.599999999999994,0.6999999999999993,2.6999999999999886,190.4,-20.7,-246.7,312.987220186384,195,-20,-244
1,0.0,toyota,clotplus,0.0,0,1,2.8460498941515384,2.799999999999997,-0.09999999999999432,0.5,50.2,-195.9,-145.5,249.499498997493,53,-196,-145,1.7720045146669257,-0.4000000000000057,-0.3000000000000007,1.6999999999999886,190.4,-20.7,-246.7,310.7507039412783,190,-21,-245
2,0.0,toyota,clotplus,0.0,0,1,4.571651780264983,0.7999999999999972,-0.09999999999999432,4.5,50.2,-195.9,-145.5,246.7752013472991,51,-196,-141,4.115823125451347,-3.4000000000000057,-0.3000000000000007,-2.3000000000000114,190.4,-20.7,-246.7,312.10735332574274,187,-21,-249
3,0.0,toyota,clotplus,0.0,0,1,6.920982589199313,-4.200000000000003,-0.09999999999999432,-5.5,50.2,-195.9,-145.5,251.6604855753084,46,-196,-151,4.2591078878093755,2.5999999999999943,0.6999999999999993,-3.3000000000000114,190.4,-20.7,-246.7,316.46326801068085,193,-20,-250
4,0.0,toyota,clotplus,0.0,0,1,3.0822070014844867,1.7999999999999972,-0.09999999999999432,-2.5,50.2,-195.9,-145.5,251.0458125522113,52,-196,-148,4.091454509095744,1.5999999999999943,0.6999999999999993,3.6999999999999886,190.4,-20.7,-246.7,310.3433582340695,192,-20,-243
5,0.0,toyota,clotplus,0.0,0,1,3.7549966711037155,2.799999999999997,-0.09999999999999432,2.5,50.2,-195.9,-145.5,248.34250542345745,53,-196,-143,3.8652296180175467,-3.4000000000000057,-1.3000000000000007,-1.3000000000000114,190.4,-20.7,-246.7,311.3791900561115,187,-22,-248
6,0.0,toyota,clotplus,0.0,0,1,3.53553390593274,-3.200000000000003,-0.09999999999999432,1.5,50.2,-195.9,-145.5,247.71152577141015,47,-196,-144,3.4263683398023725,0.5999999999999943,0.6999999999999993,-3.3000000000000114,190.4,-20.7,-246.7,315.24752179834815,191,-20,-250
7,0.0,toyota,clotplus,0.0,0,1,3.8078865529319565,-1.2000000000000028,0.9000000000000057,-3.5,50.2,-195.9,-145.5,250.25387109893026,49,-195,-149,3.760319135392621,2.5999999999999943,-0.3000000000000007,2.6999999999999886,190.4,-20.7,-246.7,311.8108400937979,193,-21,-244
8,0.0,toyota,clotplus,0.0,0,1,6.774953874381726,3.799999999999997,-1.0999999999999943,5.5,50.2,-195.9,-145.5,247.63884994079584,54,-197,-140,3.967366884975466,-1.4000000000000057,-0.3000000000000007,3.6999999999999886,190.4,-20.7,-246.7,308.56279749833743,189,-21,-243
9,0.0,toyota,clotplus,0.0,0,1,2.7748873851023226,-1.2000000000000028,-0.09999999999999432,2.5,50.2,-195.9,-145.5,247.5196961859803,49,-196,-143,5.489990892524334,-3.4000000000000057,-0.3000000000000007,-4.300000000000011,190.4,-20.7,-246.7,313.70527569679155,187,-21,-251
