,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag3_CarLen,Mag3_CarX,Mag3_CarY,Mag3_CarZ,Mag3_EnvX,Mag3_EnvY,Mag3_EnvZ,Mag3_Len,Mag3_X,Mag3_Y,Mag3_Z,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
0,0.0,toyota,clotplus,0.0,0,1,5.991660871578098,-2.200000000000003,0.9000000000000057,-5.5,50.2,-195.9,-145.5,251.2568407028951,48,-195,-151,5.379591062525095,4.599999999999994,0.6999999999999993,2.6999999999999886,190.4,-20.7,-246.7,312.98722018638404,195,-20,-244,5.178802950489615,0.0,-0.9000000000000004,5.099999999999994,358.0,9.9,-242.1,429.4345118874355,358,9,-237,12:13.6,5.1048996072400605,-3.3999999999999773,-0.8999999999999773,-3.6999999999999886,458.4,-291.1,-172.3,568.5639805685901,455,-292,-176,21.47417295414966,690.8509679791883,1.6801530360358645,2.845079796556027,5.1048996072400605,14.088058135868165,28.45079796556027,28.45079796556027,5.600000000000023,7.999999999999943
1,0.0,toyota,clotplus,0.0,0,1,2.8460498941515384,2.799999999999997,-0.09999999999999433,0.5,50.2,-195.9,-145.5,249.499498997493,53,-196,-145,1.7720045146669257,-0.4000000000000057,-0.3000000000000007,1.6999999999999886,190.4,-20.7,-246.7,310.7507039412783,190,-21,-245,6.32613626157389,-4.0,0.09999999999999963,-4.900000000000006,358.0,9.9,-242.1,431.7696144936557,354,10,-247,12:14.1,3.0430248109406053,2.6000000000000227,-0.8999999999999773,1.3000000000000114,458.4,-291.1,-172.3,571.8618714340029,461,-292,-171,-7.544979686593178,689.9435701999682,4.191540756079972,-0.5682867155039406,3.0430248109406053,5.279214938957722,-5.682867155039406,-5.682867155039406,7.0,4.800000000000011
2,0.0,toyota,clotplus,0.0,0,1,4.571651780264983,0.7999999999999972,-0.09999999999999433,4.5,50.2,-195.9,-145.5,246.7752013472991,51,-196,-141,4.115823125451347,-3.4000000000000057,-0.3000000000000007,-2.300000000000012,190.4,-20.7,-246.7,312.10735332574274,187,-21,-249,3.663331816802837,3.0,0.09999999999999963,2.0999999999999943,358.0,9.9,-242.1,433.61388354156736,361,10,-240,12:14.5,5.537147279962869,1.6000000000000227,0.10000000000002274,5.300000000000012,458.4,-291.1,-172.3,569.3592890258312,460,-291,-167,-30.760301799187538,689.8553559325137,-25.44313192097781,-2.734057646928667,5.537147279962869,12.54793093212231,-27.34057646928667,-27.34057646928667,10.399999999999977,7.000000000000057
3,0.0,toyota,clotplus,0.0,0,1,6.920982589199313,-4.200000000000003,-0.09999999999999433,-5.5,50.2,-195.9,-145.5,251.66048557530843,46,-196,-151,4.259107887809376,2.5999999999999943,0.6999999999999993,-3.300000000000012,190.4,-20.7,-246.7,316.4632680106808,193,-20,-250,5.081338406364996,3.0,0.09999999999999963,4.099999999999993,358.0,9.9,-242.1,432.5101154886438,361,10,-238,12:14.9,5.143928459844656,-3.3999999999999773,1.1000000000000227,-3.6999999999999886,458.4,-291.1,-172.3,567.5394259432554,455,-290,-176,21.47417295414966,690.3773369144095,470.9133168194245,2.4409269635008446,5.1439284598446555,10.605350404353953,24.409269635008446,24.409269635008446,9.600000000000023,8.199999999999989
4,0.0,toyota,clotplus,0.0,0,1,3.0822070014844867,1.7999999999999972,-0.09999999999999433,-2.5,50.2,-195.9,-145.5,251.04581255221132,52,-196,-148,4.091454509095744,1.5999999999999943,0.6999999999999993,3.6999999999999886,190.4,-20.7,-246.7,310.3433582340695,192,-20,-243,4.921381919745717,-3.0,0.09999999999999963,-3.9000000000000057,358.0,9.9,-242.1,432.01967547786523,355,10,-246,12:15.3,3.749666651850528,0.6000000000000227,0.10000000000002274,-3.6999999999999886,458.4,-291.1,-172.3,571.2600108532016,459,-291,-176,21.47417295414966,690.0077325459813,-0.7308150632818424,2.4193687944525033,3.7496666518505277,8.370035405157683,24.19368794452503,24.19368794452503,8.600000000000023,4.400000000000034
5,0.0,toyota,clotplus,0.0,0,1,3.754996671103716,2.799999999999997,-0.09999999999999433,2.5,50.2,-195.9,-145.5,248.34250542345745,53,-196,-143,3.8652296180175463,-3.4000000000000057,-1.3000000000000007,-1.3000000000000114,190.4,-20.7,-246.7,311.3791900561115,187,-22,-248,3.1968734726291608,-1.0,-0.9000000000000004,-2.9000000000000057,358.0,9.9,-242.1,433.07620576522095,357,9,-245,12:15.8,4.296510211788185,2.6000000000000227,-0.8999999999999773,3.300000000000012,458.4,-291.1,-172.3,571.2670128757654,461,-292,-169,-19.15264074289036,689.9435701999682,-13.541177027848384,-1.663676306004247,4.296510211788185,9.122597930450782,-16.63676306004247,-16.63676306004247,8.399999999999977,6.800000000000011
6,0.0,toyota,clotplus,0.0,0,1,3.53553390593274,-3.200000000000003,-0.09999999999999433,1.5,50.2,-195.9,-145.5,247.71152577141015,47,-196,-144,3.4263683398023725,0.5999999999999943,0.6999999999999993,-3.300000000000012,190.4,-20.7,-246.7,315.24752179834815,191,-20,-250,4.451965857910409,3.0,1.0999999999999996,3.0999999999999943,358.0,9.9,-242.1,433.0854419164883,361,11,-239,12:16.2,2.8740215726399616,-2.3999999999999773,-0.8999999999999773,1.3000000000000114,458.4,-291.1,-172.3,567.8388856004844,456,-292,-171,-7.544979686593178,690.700259568165,0.4880853649126669,-0.2695499287611258,2.8740215726399616,6.1480834188317735,-2.6954992876112582,-2.6954992876112582,7.399999999999977,4.599999999999966
7,0.0,toyota,clotplus,0.0,0,1,3.807886552931957,-1.2000000000000028,0.9000000000000057,-3.5,50.2,-195.9,-145.5,250.25387109893023,49,-195,-149,3.760319135392621,2.5999999999999943,-0.3000000000000007,2.6999999999999886,190.4,-20.7,-246.7,311.8108400937979,193,-21,-244,2.969848480983503,-2.0,1.0999999999999996,-1.9000000000000057,358.0,9.9,-242.1,431.7325561038917,356,11,-244,12:16.6,4.501110973970733,-2.3999999999999773,-0.8999999999999773,-3.6999999999999886,458.4,-291.1,-172.3,569.364558082078,456,-292,-176,21.47417295414966,690.700259568165,1.989672874920466,2.709756182657297,4.501110973970733,12.299564477330938,27.09756182657297,27.09756182657297,5.600000000000023,6.999999999999943
8,0.0,toyota,clotplus,0.0,0,1,6.774953874381727,3.799999999999997,-1.0999999999999943,5.5,50.2,-195.9,-145.5,247.63884994079586,54,-197,-140,3.967366884975466,-1.4000000000000057,-0.3000000000000007,3.6999999999999886,190.4,-20.7,-246.7,308.56279749833743,189,-21,-243,3.524202037341224,-2.0,0.09999999999999963,-2.9000000000000057,358.0,9.9,-242.1,432.27421852338136,356,10,-245,12:17.0,3.8288379438153552,3.6000000000000227,1.1000000000000227,-0.6999999999999886,458.4,-291.1,-172.3,572.2525666172237,462,-290,-173,4.062681369704002,689.3062977387318,0.6426393519644391,1.0965469327954835,3.8288379438153552,7.02908283899345,10.965469327954835,10.965469327954835,8.600000000000023,5.400000000000034
9,0.0,toyota,clotplus,0.0,0,1,2.7748873851023226,-1.2000000000000028,-0.09999999999999433,2.5,50.2,-195.9,-145.5,247.5196961859803,49,-196,-143,5.489990892524334,-3.4000000000000057,-0.3000000000000007,-4.300000000000011,190.4,-20.7,-246.7,313.70527569679155,187,-21,-251,3.770941526992957,3.0,-0.9000000000000004,2.0999999999999943,358.0,9.9,-242.1,433.5919740954623,361,9,-240,12:17.4,4.822862220715019,0.6000000000000227,2.1000000000000227,4.300000000000011,458.4,-291.1,-172.3,567.8256774750504,459,-289,-168,-24.95647127103895,689.5230548879449,1.8441859819750845,-1.9232610354380952,4.82286222071502,12.298770734072207,-19.232610354380952,-19.232610354380952,7.399999999999977,7.000000000000057
