,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
0,1,nisson,0,0,0,0,teana,0.0,0,177.0,-104.0,-157.0,199.0,-74.0,-244.0,304.0,-53.0,-194.0,318.0,-134.0,-111.0,0.0,0.0,18:24.2,0.0,0.0,0.0,0.0,199.0,-74.0,-244.0,323.4393297049696,199,-74,-244
1,1,nisson,0,0,0,0,teana,0.0,0,177.0,-104.0,-157.0,199.0,-74.0,-244.0,304.0,-53.0,-194.0,318.0,-134.0,-111.0,0.0,0.0,18:24.6,2.449489742783178,-1.0,-1.0,-2.0,199.0,-74.0,-244.0,324.5689449100145,198,-75,-246
2,1,nisson,0,0,0,0,teana,0.0,0,177.5,-105.0,-158.0,198.0,-73.5,-245.0,303.5,-53.5,-197.0,318.5,-135.0,-110.5,0.0,0.0,18:25.0,1.5,-1.0,0.5,-1.0,198.0,-73.5,-245.0,323.50270478003733,197,-73,-246
3,1,nisson,0,0,0,0,teana,0.0,0,177.5,-105.0,-158.0,198.0,-73.5,-245.0,303.5,-53.5,-197.0,318.5,-135.0,-110.5,0.0,0.0,18:25.5,1.118033988749895,1.0,-0.5,0.0,198.0,-73.5,-245.0,324.1943861327645,199,-74,-245
4,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:25.9,1.14564392373896,0.5,-0.25,-1.0,198.5,-73.75,-246.0,325.70845859449213,199,-74,-247
5,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:26.3,2.7950849718747373,-1.5,-1.25,2.0,198.5,-73.75,-246.0,322.44379355168235,197,-75,-244
6,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:26.7,1.14564392373896,0.5,-0.25,1.0,198.5,-73.75,-246.0,324.1943861327645,199,-74,-245
7,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:27.2,2.4109126902482387,-0.5,-1.25,2.0,198.5,-73.75,-246.0,323.05572274763995,198,-75,-244
8,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:27.6,0.5590169943749475,-0.5,-0.25,0.0,198.5,-73.75,-246.0,324.3393284817615,198,-74,-246
9,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:28.0,1.6770509831248424,0.5,-1.25,1.0,198.5,-73.75,-246.0,324.4241051463346,199,-75,-245
10,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:28.4,0.5310661446561937,-0.4749999999999943,-0.2374999999999972,0.0,198.475,-73.7625,-246.0,324.3393284817615,198,-74,-246
11,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:28.8,3.7725364478027217,-0.4749999999999943,-2.237499999999997,3.0,198.475,-73.7625,-246.0,322.53526938925614,198,-76,-243
12,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:29.3,1.3442586246701187,-0.4749999999999943,0.7625000000000028,1.0,198.475,-73.7625,-246.0,323.35429485318423,198,-73,-245
13,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:29.7,1.1322681881957088,-0.4749999999999943,-0.2374999999999972,1.0,198.475,-73.7625,-246.0,323.5815198678688,198,-74,-245
14,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:30.1,1.1322681881957088,-0.4749999999999943,-0.2374999999999972,1.0,198.475,-73.7625,-246.0,323.5815198678688,198,-74,-245
15,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:30.5,2.08135322566834,0.5250000000000057,-0.2374999999999972,2.0,198.475,-73.7625,-246.0,323.4393297049696,199,-74,-244
16,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:31.0,1.2592540264477936,-0.4512499999999875,-1.1756249999999966,0.0,198.45125,-73.824375,-246.0,324.5689449100145,198,-75,-246
17,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:31.4,1.2973899580022217,0.5487500000000125,-1.1756249999999966,0.0,198.45125,-73.824375,-246.0,325.17995018143415,199,-75,-246
18,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:31.8,1.1541103513637734,0.5487500000000125,-0.1756249999999966,1.0,198.45125,-73.824375,-246.0,324.1943861327645,199,-74,-245
19,1,nisson,0,0,0,0,teana,0.0,0,177.724375,-105.0475,-157.1425,198.45125,-73.824375,-246.0,303.225625,-53.721875,-197.0975,318.824375,-135.35625,-110.175625,0.0,0.0,18:32.2,2.47729100089694,-1.4512499999999875,-0.1756249999999966,2.0,198.45125,-73.824375,-246.0,322.21266269344534,197,-74,-244
