,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance,Mag_detect_rate,Mag_detect_sendflag,Mag_detect_status,Mag_detect_envbias
0,0.0,toyota,tercel,0.0,0,1,0.0,12:13.6,5.1048996072400605,-3.3999999999999773,-0.8999999999999773,-3.6999999999999886,458.4,-291.1,-172.3,568.5639805685901,455,-292,-176,21.47417295414966,690.8509679791883,-43.735553666527366,2.845079796556027,5.1048996072400605,14.088058135868165,28.45079796556027,28.45079796556027,5.600000000000023,7.999999999999943,1.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
1,0.0,toyota,tercel,0.0,0,1,0.0,12:14.1,3.0430248109406053,2.6000000000000227,-0.8999999999999773,1.3000000000000114,458.4,-291.1,-172.3,571.8618714340029,461,-292,-171,-7.544979686593178,689.9435701999682,4.191540756079972,-0.5682867155039406,3.0430248109406053,5.279214938957722,-5.682867155039406,-5.682867155039406,7.0,4.800000000000011,1.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
2,0.0,toyota,tercel,0.0,0,1,0.0,12:14.5,5.537147279962869,1.6000000000000227,0.10000000000002274,5.300000000000012,458.4,-291.1,-172.3,569.3592890258312,460,-291,-167,-30.760301799187538,689.8553559325137,32.904015667354344,-2.734057646928667,5.537147279962869,12.54793093212231,-27.34057646928667,-27.34057646928667,10.399999999999977,7.000000000000057,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
3,0.0,toyota,tercel,0.0,0,1,0.0,12:14.9,5.143928459844656,-3.3999999999999773,1.1000000000000227,-3.6999999999999886,458.4,-291.1,-172.3,567.5394259432554,455,-290,-176,21.47417295414966,690.3773369144095,-29.28877113458905,2.4409269635008446,5.1439284598446555,10.605350404353953,24.409269635008446,24.409269635008446,9.600000000000023,8.199999999999989,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
4,0.0,toyota,tercel,0.0,0,1,0.0,12:15.3,3.749666651850528,0.6000000000000227,0.10000000000002274,-3.6999999999999886,458.4,-291.1,-172.3,571.2600108532016,459,-291,-176,21.47417295414966,690.0077325459813,-0.7308150632818424,2.4193687944525033,3.7496666518505277,8.370035405157683,24.19368794452503,24.19368794452503,8.600000000000023,4.400000000000034,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
5,0.0,toyota,tercel,0.0,0,1,0.0,12:15.8,4.296510211788185,2.6000000000000227,-0.8999999999999773,3.300000000000012,458.4,-291.1,-172.3,571.2670128757654,461,-292,-169,-19.15264074289036,689.9435701999682,23.428602112890438,-1.663676306004247,4.296510211788185,9.122597930450782,-16.63676306004247,-16.63676306004247,8.399999999999977,6.800000000000011,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
6,0.0,toyota,tercel,0.0,0,1,0.0,12:16.2,2.8740215726399616,-2.3999999999999773,-0.8999999999999773,1.3000000000000114,458.4,-291.1,-172.3,567.8388856004844,456,-292,-171,-7.544979686593178,690.700259568165,-15.90607948968592,-0.2695499287611258,2.8740215726399616,6.1480834188317735,-2.6954992876112582,-2.6954992876112582,7.399999999999977,4.599999999999966,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
7,0.0,toyota,tercel,0.0,0,1,0.0,12:16.6,4.501110973970733,-2.3999999999999773,-0.8999999999999773,-3.6999999999999886,458.4,-291.1,-172.3,569.364558082078,456,-292,-176,21.47417295414966,690.700259568165,-37.4245102146431,2.709756182657297,4.501110973970733,12.299564477330938,27.09756182657297,27.09756182657297,5.600000000000023,6.999999999999943,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
8,0.0,toyota,tercel,0.0,0,1,0.0,12:17.0,3.8288379438153552,3.6000000000000227,1.1000000000000227,-0.6999999999999886,458.4,-291.1,-172.3,572.2525666172237,462,-290,-173,4.062681369704002,689.3062977387318,0.6426393519644391,1.0965469327954835,3.8288379438153552,7.02908283899345,10.965469327954835,10.965469327954835,8.600000000000023,5.400000000000034,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
9,0.0,toyota,tercel,0.0,0,1,0.0,12:17.4,4.8228622207150185,0.6000000000000227,2.1000000000000227,4.300000000000011,458.4,-291.1,-172.3,567.8256774750504,459,-289,-168,-24.95647127103895,689.5230548879449,1.8441859819750845,-1.9232610354380952,4.82286222071502,12.298770734072207,-19.232610354380952,-19.232610354380952,7.399999999999977,7.000000000000057,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
10,0.0,toyota,tercel,0.0,0,1,0.0,12:17.9,8.417838202293963,-3.3999999999999773,0.10000000000002274,-7.699999999999987,458.4,-291.1,-172.3,569.3030827248348,455,-291,-180,44.68949506674402,690.6152288019124,-54.125013956374254,5.028178031868524,8.417838202293964,19.327974798444835,50.28178031868524,50.28178031868524,15.600000000000023,11.199999999999989,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
11,0.0,toyota,tercel,0.0,0,1,0.0,12:18.3,4.545327270945414,1.6000000000000227,2.1000000000000227,-3.6999999999999886,458.4,-291.1,-172.3,571.0490346721548,460,-289,-176,21.47417295414966,689.3690242291465,0.18416924561134726,2.7259266154226913,4.545327270945414,11.549438932009826,27.259266154226914,27.259266154226914,11.600000000000023,7.400000000000034,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
12,0.0,toyota,tercel,0.0,0,1,0.0,12:18.7,5.025932749251647,2.6000000000000227,0.10000000000002274,4.300000000000011,458.4,-291.1,-172.3,570.461216911369,461,-291,-168,-24.95647127103895,689.702787287267,4.059421935004725,-2.061578585739643,5.025932749251647,12.28249808109555,-20.61578585739643,-20.61578585739643,8.399999999999977,7.000000000000057,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
13,0.0,toyota,tercel,0.0,0,1,0.0,12:19.1,7.527283706623533,-2.3999999999999773,6.100000000000023,-3.6999999999999886,458.4,-291.1,-172.3,565.8065040276579,456,-285,-176,21.47417295414966,688.998622004134,0.17808745651651264,3.0033836568450267,7.527283706623531,17.179707550346034,30.03383656845027,30.03383656845027,19.600000000000023,12.199999999999989,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
14,0.0,toyota,tercel,0.0,0,1,0.0,12:19.5,12.395967086113124,-1.3999999999999773,6.100000000000023,-10.699999999999989,458.4,-291.1,-172.3,568.8259839353333,457,-285,-183,62.100986651189686,688.8418235272981,-0.1233604361564501,7.3266664727992925,12.395967086113126,30.44057873488204,73.26666472799292,73.26666472799292,33.60000000000002,18.19999999999999,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
15,0.0,toyota,tercel,0.0,0,1,0.0,12:20.0,6.329296959378686,2.6000000000000227,5.100000000000024,-2.6999999999999886,458.4,-291.1,-172.3,570.0368409146904,461,-286,-175,15.670342426001183,688.4666891217468,0.44157498007769325,2.9004246490650587,6.329296959378686,17.891245141965605,29.004246490650587,29.004246490650587,15.600000000000023,10.400000000000034,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
16,0.0,toyota,tercel,0.0,0,1,0.0,12:20.4,2.3366642891095935,-0.3999999999999773,0.10000000000002274,2.300000000000012,458.4,-291.1,-172.3,568.6343288968756,458,-291,-170,-13.348810214741768,690.159912668994,8.032388838089544,-1.176463774016967,2.336664289109593,5.062631914083237,-11.76463774016967,-11.76463774016967,5.399999999999977,2.8000000000000114,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
17,0.0,toyota,tercel,0.0,0,1,0.0,12:20.8,6.727555276621647,-3.3999999999999773,1.1000000000000227,-5.699999999999987,458.4,-291.1,-172.3,568.1628287735832,455,-290,-178,33.08183401044684,690.3773369144095,-6.86916834917336,3.7444802261779153,6.727555276621647,15.213078300964023,37.44480226177915,37.44480226177915,13.600000000000023,10.199999999999989,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
18,0.0,toyota,tercel,0.0,0,1,0.0,12:21.2,5.085272854036449,1.6000000000000227,1.1000000000000227,-4.699999999999988,458.4,-291.1,-172.3,571.8644944390236,460,-290,-177,27.27800348229814,689.6132629855862,-0.06451791596707293,3.138529270342938,5.085272854036449,11.180811286536308,31.38529270342938,31.38529270342938,12.600000000000023,7.400000000000034,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
19,0.0,toyota,tercel,0.0,0,1,0.0,12:21.7,3.009983388658512,1.6000000000000227,1.1000000000000227,2.300000000000012,458.4,-291.1,-172.3,569.7367813297644,460,-290,-170,-13.348810214741768,689.6132629855862,1.4024288407258145,-0.8629204116994749,3.0099833886585117,8.776562987333147,-8.62920411699475,-8.62920411699475,2.3999999999999773,5.000000000000057,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
20,0.0,toyota,tercel,0.0,0,1,0.0,12:22.1,4.8228622207149865,-3.3999999999999773,2.1000000000000227,-2.6999999999999886,458.4,-291.1,-172.3,566.7195073402714,455,-289,-175,15.670342426001183,690.1372825700968,-1.7359161072171547,1.8458375805202265,4.822862220714986,9.142407679594067,18.458375805202266,18.458375805202266,11.0,8.199999999999989,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
21,0.0,toyota,tercel,0.0,0,1,0.0,12:22.5,6.087692502089765,-0.3999999999999773,2.1000000000000227,-5.699999999999987,458.4,-291.1,-172.3,570.0605231025912,458,-289,-178,33.08183401044684,689.6769005244182,-0.30236939606510593,3.8301448088154944,6.087692502089765,15.026800568730515,38.30144808815494,38.30144808815494,15.600000000000023,8.199999999999989,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
22,0.0,toyota,tercel,0.0,0,1,0.0,12:22.9,11.5870617500728,3.6000000000000227,-5.899999999999977,9.300000000000011,458.4,-291.1,-172.3,572.9066241544081,462,-297,-163,-53.97562391178179,690.9680333450261,17.78840752005184,-4.475919321971444,11.587061750072799,27.142713150707266,-44.75919321971445,-44.75919321971445,30.399999999999977,18.80000000000001,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
23,0.0,toyota,tercel,0.0,0,1,0.0,12:23.3,12.404031602668539,-0.3999999999999773,-6.899999999999977,10.300000000000011,458.4,-291.1,-172.3,569.9228017898563,458,-298,-162,-59.779454439930376,691.7834539437886,-10.176844310652022,-4.685543338948839,12.40403160266854,31.115357881895623,-46.85543338948839,-46.85543338948839,34.39999999999998,17.599999999999966,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
24,0.0,toyota,tercel,0.0,0,1,0.0,12:23.8,8.01623352953241,-2.3999999999999773,-6.899999999999977,3.300000000000012,458.4,-291.1,-172.3,570.3516459167977,456,-298,-169,-19.15264074289036,692.0752272982618,-51.285285204031304,-0.2510924443327234,8.01623352953241,22.77364815720223,-2.5109244433272337,-2.5109244433272337,20.399999999999977,12.599999999999966,3.0,1,0,"[459.5426611802693, -295.69311026262005, -175.19540337390228]"
