,Backward,Brand,Category,Class,Class_Target,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance,Mag_detect_rate,Mag_detect_sendflag,Mag_detect_status,Mag_detect_envbias
77,1,toyota,clotplus,0.0,0,0.0,0.0,22:00.0,8.321658488546621,-3.6000000000000014,0.19999999999998866,-7.5,49.6,-198.2,-142.5,252.62620608321686,46,-198,-150,52.63157894736836,600.1774503648298,-1.4305960973280338,8.156821512495933,8.32165848854662,50.6345029696384,81.56821512495932,81.56821512495932,15.399999999999977,11.29999999999999,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
78,1,toyota,clotplus,0.0,0,0.0,0.0,22:00.4,1.9621416870348507,0.3999999999999986,1.1999999999999886,-1.5,49.6,-198.2,-142.5,249.08833774386147,50,-197,-144,10.526315789473717,607.6375677852063,0.33696758411947353,1.6927385663092793,1.962141687034851,12.444466315974372,16.927385663092792,16.927385663092792,5.399999999999977,3.099999999999987,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
79,1,toyota,clotplus,0.0,0,0.0,0.0,22:00.8,4.410215414239985,2.3999999999999986,1.1999999999999886,3.5,49.6,-198.2,-142.5,246.6454945868665,52,-197,-139,-24.561403508771896,611.050764371607,117.10225076354607,-0.9805802816791165,4.410215414239985,23.258476215138046,-9.805802816791164,-9.805802816791164,4.600000000000023,7.099999999999987,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
80,1,toyota,clotplus,0.0,0,0.0,0.0,22:01.2,3.827531841800925,-3.6000000000000014,1.1999999999999886,0.5,49.6,-198.2,-142.5,247.16189026627868,46,-197,-142,-3.5087719298245723,600.5953063857019,-130.05847170885514,1.0873689895361331,3.827531841800925,16.839929234690604,10.873689895361332,10.873689895361332,9.59999999999998,5.29999999999999,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
81,1,toyota,clotplus,0.0,0,0.0,0.0,22:01.7,7.0462756119811285,-2.6000000000000014,-0.8000000000000114,-6.5,49.6,-198.2,-142.5,253.0039525382953,47,-199,-149,45.614035087719216,601.5407149667728,-1.4634494240825224,6.8087720365540365,7.0462756119811285,39.33252992984329,68.08772036554036,68.08772036554036,11.399999999999977,9.900000000000013,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
82,1,toyota,clotplus,0.0,0,0.0,0.0,22:02.1,7.940403012442124,1.3999999999999986,2.1999999999999886,-7.5,49.6,-198.2,-142.5,252.02579233086442,51,-196,-150,52.63157894736836,609.7966177830191,0.18035062966883605,7.384678705876585,7.940403012442124,44.32762554973429,73.84678705876586,73.84678705876586,19.399999999999977,11.099999999999987,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
83,1,toyota,clotplus,0.0,0,0.0,0.0,22:02.5,1.9104973174542719,1.3999999999999986,1.1999999999999886,0.5,49.6,-198.2,-142.5,248.14108889903744,51,-197,-142,-3.5087719298245723,609.3531631732212,3.623985864271709,0.4669428560397787,1.9104973174542716,8.368524706520414,4.669428560397787,4.669428560397787,1.7999999999999972,3.099999999999987,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
84,1,toyota,clotplus,0.0,0,0.0,0.0,22:02.9,5.162363799656121,-3.6000000000000014,1.1999999999999886,-3.5,49.6,-198.2,-142.5,249.48146223717706,46,-197,-146,24.561403508772006,600.5953063857019,-2.4422012415270964,4.533164924430847,5.162363799656121,33.91930649292899,45.331649244308466,45.331649244308466,9.59999999999998,8.29999999999999,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
85,1,toyota,clotplus,0.0,0,0.0,0.0,22:03.4,7.1728655361717175,-4.600000000000001,0.19999999999998866,-5.5,49.6,-198.2,-142.5,251.26281061868264,45,-198,-148,38.59649122807007,598.376979690214,-2.6166404805720305,6.627213382125846,7.172865536171719,44.635574936512654,66.27213382125846,66.27213382125846,11.399999999999977,10.29999999999999,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
86,1,toyota,clotplus,0.0,0,0.0,0.0,22:03.8,3.4713109915419547,2.3999999999999986,0.19999999999998866,-2.5,49.6,-198.2,-142.5,250.86450526130642,52,-198,-145,17.54385964912286,610.6066719083116,1.275479637133701,3.2109531957313644,3.471310991541955,20.50217068228338,32.10953195731364,32.10953195731364,9.799999999999997,5.099999999999987,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
87,1,toyota,clotplus,0.0,0,0.0,0.0,22:04.2,2.872281323269013,1.3999999999999986,0.19999999999998866,2.5,49.6,-198.2,-142.5,247.80032284079047,51,-198,-140,-17.54385964912286,608.9129879635157,66.92188117790599,-0.7493064664945481,2.872281323269013,17.144540738290416,-7.493064664945481,-7.493064664945481,4.600000000000023,4.099999999999987,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
88,1,toyota,clotplus,0.0,0,0.0,0.0,22:04.6,5.024937810560447,-3.6000000000000014,0.19999999999998866,-3.5,49.6,-198.2,-142.5,250.27185219277058,46,-198,-146,24.561403508772006,600.1774503648298,-3.379995000745374,4.441207253658447,5.024937810560446,31.151551004319046,44.41207253658447,44.41207253658447,7.59999999999998,7.29999999999999,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
89,1,toyota,clotplus,0.0,0,0.0,0.0,22:05.9,4.477722635447618,-3.6000000000000014,2.1999999999999886,-1.5,49.6,-198.2,-142.5,247.52373623553765,46,-196,-144,10.526315789473717,601.0164422384098,-3.4681070381250567,2.763281269423717,4.477722635447618,26.8041242868719,27.632812694237174,27.632812694237174,11.59999999999998,7.29999999999999,3.0,0,0,"[49.9540251504215, -199.1795297627102, -145.98734713159953]"
