,Backward,Brand,Category,Class,Class_Target,Forward,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
29,0.0,toyota,clotplus,0.0,0,1,12:25.9,5.244044240850757,3.799999999999997,0.9000000000000057,3.5,50.2,-195.9,-145.5,247.19425559668656,54,-195,-142
30,0.0,toyota,clotplus,0.0,0,1,12:26.3,2.9832867780352585,-1.2000000000000028,-1.0999999999999943,2.5,50.2,-195.9,-145.5,248.31230336010336,49,-197,-143
31,0.0,toyota,clotplus,0.0,0,1,12:26.7,5.576737397439476,-4.200000000000003,-1.0999999999999943,-3.5,50.2,-195.9,-145.5,251.24888059452127,46,-197,-149
32,0.0,toyota,clotplus,0.0,0,1,12:27.1,6.8044103344816,1.7999999999999972,0.9000000000000057,-6.5,50.2,-195.9,-145.5,252.65193448695382,52,-195,-152
33,0.0,toyota,clotplus,0.0,0,1,12:27.6,5.787918451395112,1.7999999999999972,-0.09999999999999432,5.5,50.2,-195.9,-145.5,246.41428530018302,52,-196,-140
34,0.0,toyota,clotplus,0.0,0,1,12:28.0,4.135214625627068,-2.200000000000003,-0.09999999999999432,-3.5,50.2,-195.9,-145.5,250.84058682757063,48,-196,-149
35,0.0,toyota,clotplus,0.0,0,1,12:28.4,4.868264577855235,-3.200000000000003,-1.0999999999999943,-3.5,50.2,-195.9,-145.5,251.4338879308038,47,-197,-149
36,0.0,toyota,clotplus,0.0,0,1,12:28.8,3.3015148038438347,2.799999999999997,0.9000000000000057,1.5,50.2,-195.9,-145.5,248.1330288373557,53,-195,-144
37,0.0,toyota,clotplus,0.0,0,1,12:29.2,5.282045058497699,1.7999999999999972,-2.0999999999999943,4.5,50.2,-195.9,-145.5,248.57393266390585,52,-198,-141
38,0.0,toyota,clotplus,0.0,0,1,12:29.7,4.277849927241488,-2.200000000000003,-1.0999999999999943,3.5,50.2,-195.9,-145.5,247.54191564258366,48,-197,-142
39,0.0,toyota,clotplus,0.0,0,1,12:30.1,6.024948132556827,-2.200000000000003,-1.0999999999999943,-5.5,50.2,-195.9,-145.5,252.81218325072865,48,-197,-151
40,0.0,toyota,clotplus,0.0,0,1,12:30.5,2.345207879911712,1.7999999999999972,-0.09999999999999432,1.5,50.2,-195.9,-145.5,248.70866490735702,52,-196,-144
41,0.0,toyota,clotplus,0.0,0,1,12:30.9,2.626785107312738,0.7999999999999972,-0.09999999999999432,2.5,50.2,-195.9,-145.5,247.92337525937324,51,-196,-143
42,0.0,toyota,clotplus,0.0,0,1,12:31.3,3.3615472627943266,-3.200000000000003,0.9000000000000057,-0.5,50.2,-195.9,-145.5,248.09272460110554,47,-195,-146
43,0.0,toyota,clotplus,0.0,0,1,12:31.8,3.5071355833500366,-0.20000000000000284,-0.09999999999999432,-3.5,50.2,-195.9,-145.5,251.23096942853203,50,-196,-149
44,0.0,toyota,clotplus,0.0,0,1,12:32.2,4.086563348340507,3.799999999999997,-0.09999999999999432,1.5,50.2,-195.9,-145.5,249.134501825821,54,-196,-144
45,0.0,toyota,clotplus,0.0,0,1,12:32.6,5.0299105359837135,0.7999999999999972,-2.0999999999999943,4.5,50.2,-195.9,-145.5,248.36666442983045,51,-198,-141
46,0.0,toyota,clotplus,0.0,0,1,12:33.0,3.53553390593274,-3.200000000000003,-0.09999999999999432,-1.5,50.2,-195.9,-145.5,249.46743274423616,47,-196,-147
47,0.0,toyota,clotplus,0.0,0,1,12:33.5,3.5916569992135936,0.7999999999999972,-0.09999999999999432,-3.5,50.2,-195.9,-145.5,251.43189932862538,51,-196,-149
48,0.0,toyota,clotplus,0.0,0,1,12:33.9,6.68580586017871,3.799999999999997,-0.09999999999999432,5.5,50.2,-195.9,-145.5,246.84408034222736,54,-196,-140
49,0.0,toyota,clotplus,0.0,0,1,12:34.3,4.0865633483405075,-0.20000000000000284,-2.0999999999999943,3.5,50.2,-195.9,-145.5,248.73278834926447,50,-198,-142
50,0.0,toyota,clotplus,0.0,0,1,12:34.7,4.868264577855235,-3.200000000000003,-1.0999999999999943,-3.5,50.2,-195.9,-145.5,251.4338879308038,47,-197,-149
51,0.0,toyota,clotplus,0.0,0,1,12:35.1,2.345207879911712,1.7999999999999972,-0.09999999999999432,-1.5,50.2,-195.9,-145.5,250.45758123881976,52,-196,-147
52,0.0,toyota,clotplus,0.0,0,1,12:35.6,8.972179222463177,4.799999999999997,-1.0999999999999943,7.5,50.2,-195.9,-145.5,246.734675309329,55,-197,-138
53,0.0,toyota,clotplus,0.0,0,1,12:36.0,4.2544094772365275,-1.2000000000000028,-2.0999999999999943,3.5,50.2,-195.9,-145.5,248.53369992819887,49,-198,-142
