,Backward,Brand,Category,Class,Class_Target,Forward,Mag1_CarLen,Mag1_CarX,Mag1_CarY,Mag1_CarZ,Mag1_EnvX,Mag1_EnvY,Mag1_EnvZ,Mag1_Len,Mag1_X,Mag1_Y,Mag1_Z,Mag2_CarLen,Mag2_CarX,Mag2_CarY,Mag2_CarZ,Mag2_EnvX,Mag2_EnvY,Mag2_EnvZ,Mag2_Len,Mag2_X,Mag2_Y,Mag2_Z,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
139,0.0,toyota,clotplus,111.37762342589286,1,1,180.26286361866107,-6.200000000000003,-180.1,4.5,50.2,-195.9,-145.5,403.9715336505779,44,-376,-141,178.35453456528657,-4.400000000000006,-178.3,-0.30000000000001137,190.4,-20.7,-246.7,367.7036850508844,186,-199,-247,179.12961787487853,-9.0,-178.9,1.0999999999999943,358.0,9.9,-242.1,456.5555825964677,349,-169,-241
140,0.0,toyota,clotplus,111.37762342589286,1,1,179.54414498947048,-5.200000000000003,-179.1,11.5,50.2,-195.9,-145.5,400.7567840972876,45,-375,-134,179.65672823470877,-9.400000000000006,-179.3,-6.300000000000011,190.4,-20.7,-246.7,369.8242825991825,181,-200,-253,178.14718633758997,-8.0,-177.9,-4.900000000000006,358.0,9.9,-242.1,460.14454250811235,350,-168,-247
141,0.0,toyota,clotplus,111.37762342589286,1,1,181.69067119695495,-10.200000000000003,-181.1,10.5,50.2,-195.9,-145.5,402.43508793344546,40,-377,-135,180.80525434842872,-7.400000000000006,-180.3,-11.300000000000011,190.4,-20.7,-246.7,374.7719306458263,183,-201,-258,177.94723937167444,-4.0,-177.9,-0.9000000000000057,358.0,9.9,-242.1,461.0737468128065,354,-168,-243
142,0.0,toyota,clotplus,111.37762342589286,1,1,180.4724355684269,-10.200000000000003,-180.1,5.5,50.2,-195.9,-145.5,403.2071427938746,40,-376,-140,179.42669812488887,-2.4000000000000057,-179.3,-6.300000000000011,190.4,-20.7,-246.7,373.30014733455437,188,-200,-253,177.04411879528786,-5.0,-176.9,5.099999999999994,358.0,9.9,-242.1,456.80083187314796,353,-167,-237
143,0.0,toyota,clotplus,111.37762342589286,1,1,179.25986723190442,-5.200000000000003,-179.1,5.5,50.2,-195.9,-145.5,402.8026812224566,45,-375,-140,179.38154866094786,-5.400000000000006,-179.3,-0.30000000000001137,190.4,-20.7,-246.7,367.7417572155765,185,-200,-247,178.137643410931,-9.0,-177.9,-1.9000000000000057,358.0,9.9,-242.1,457.77833063612786,349,-168,-244
144,0.0,toyota,clotplus,111.37762342589286,1,1,180.60813935147,-5.200000000000003,-180.1,12.5,50.2,-195.9,-145.5,401.3601873629222,45,-376,-133,178.6089023537181,-8.400000000000006,-178.3,-6.300000000000011,190.4,-20.7,-246.7,369.77560763252086,182,-199,-253,179.9928331906579,-5.0,-179.9,-2.9000000000000057,358.0,9.9,-242.1,462.09739233196285,353,-170,-245
145,0.0,toyota,clotplus,111.37762342589286,1,1,181.54200615835444,-10.200000000000003,-181.1,7.5,50.2,-195.9,-145.5,403.4513601414674,40,-377,-138,179.76968598737665,-6.400000000000006,-179.3,-11.300000000000011,190.4,-20.7,-246.7,374.7265669791775,184,-200,-258,180.93761355782274,-2.0,-180.9,3.0999999999999943,358.0,9.9,-242.1,461.6253892497682,356,-171,-239
146,0.0,toyota,clotplus,111.37762342589286,1,1,181.38936021718584,-9.200000000000003,-181.1,4.5,50.2,-195.9,-145.5,404.58744419470065,41,-377,-141,179.41610852986418,-1.4000000000000057,-179.3,-6.300000000000011,190.4,-20.7,-246.7,373.80476187443094,189,-200,-253,179.082159915498,-8.0,-178.9,1.0999999999999943,358.0,9.9,-242.1,457.32045657285,350,-169,-241
147,0.0,toyota,clotplus,111.37762342589286,1,1,177.26900462291763,-4.200000000000003,-177.1,6.5,50.2,-195.9,-145.5,400.7068754089453,46,-373,-139,179.42892743367779,-6.400000000000006,-179.3,-2.3000000000000114,190.4,-20.7,-246.7,368.58784570302913,184,-200,-249,178.2044331659569,-10.0,-177.9,-2.9000000000000057,358.0,9.9,-242.1,457.55109004350544,348,-168,-245
148,0.0,toyota,clotplus,111.37762342589286,1,1,180.63969663393482,-6.200000000000003,-180.1,12.5,50.2,-195.9,-145.5,401.2492990648083,44,-376,-133,179.68845260617056,-8.400000000000006,-179.3,-8.300000000000011,190.4,-20.7,-246.7,371.68400557462786,182,-200,-255,179.0670824020987,-5.0,-178.9,-5.900000000000006,358.0,9.9,-242.1,463.329256576789,353,-169,-248
