,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
0,1,nisson,0,0,0,0,teana,0.0,0,177.0,-104.0,-157.0,199.0,-74.0,-244.0,304.0,-53.0,-194.0,318.0,-134.0,-111.0,0.0,0.0,18:24.2,0.0,0.0,0.0,0.0,318.0,-134.0,-111.0,362.49275854836054,318,-134,-111,0.0,654.9211657051142,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,nisson,0,0,0,0,teana,0.0,0,177.0,-104.0,-157.0,199.0,-74.0,-244.0,304.0,-53.0,-194.0,318.0,-134.0,-111.0,0.0,0.0,18:24.6,1.4142135623730951,1.0,0.0,-1.0,318.0,-134.0,-111.0,363.6770545415259,319,-134,-112,9.009009009008917,654.6215434019831,-0.08893354111843546,1.0319853572347382,1.4142135623730951,3.0633696319123382,10.319853572347382,10.319853572347382,4.0,2.0
2,1,nisson,0,0,0,0,teana,0.0,0,177.5,-105.0,-158.0,198.0,-73.5,-245.0,303.5,-53.5,-197.0,318.5,-135.0,-110.5,0.0,0.0,18:25.0,1.224744871391589,0.5,-1.0,0.5,318.5,-135.0,-110.5,363.80901583110875,319,-136,-110,-9.009009009009027,656.0338040675167,0.10221716666642296,-0.4423835701988177,2.449489742783178,8.441743782621025,-4.423835701988176,-4.423835701988176,6.0,4.0
3,1,nisson,0,0,0,0,teana,0.0,0,177.5,-105.0,-158.0,198.0,-73.5,-245.0,303.5,-53.5,-197.0,318.5,-135.0,-110.5,0.0,0.0,18:25.5,1.224744871391589,0.5,-1.0,0.5,318.5,-135.0,-110.5,363.80901583110875,319,-136,-110,-9.009009009009027,656.0338040675167,0.10221716666642296,-0.4423835701988177,2.449489742783178,8.441743782621025,-4.423835701988176,-4.423835701988176,6.0,4.0
4,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:25.9,0.6123724356957945,0.25,-0.5,0.25,318.75,-135.5,-110.25,363.80901583110875,319,-136,-110,-9.009009009009027,656.0338040675167,0.10221716666642296,-0.4423835701988177,2.449489742783178,8.441743782621025,-4.423835701988176,-4.423835701988176,6.0,4.0
5,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:26.3,1.3693063937629153,1.25,0.5,0.25,318.75,-135.5,-110.25,364.3144246389374,320,-135,-110,-9.009009009009027,655.0323331813121,-1.2306471209534968,-0.7009292807644507,2.449489742783178,6.275741958225334,-7.009292807644507,-7.009292807644507,6.0,4.0
6,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:26.7,2.318404623873926,0.25,-0.5,2.25,318.75,-135.5,-110.25,363.2093060481793,319,-136,-108,-27.027027027026975,656.0338040675167,-0.21405003282279433,-2.1227281509078653,3.7416573867739413,14.663549709335255,-21.227281509078654,-21.227281509078654,10.0,6.0
7,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:27.2,3.29772648956823,0.25,0.5,3.25,318.75,-135.5,-110.25,362.53965300364035,319,-135,-107,-36.036036036036,655.3307842743454,-0.9757766306957443,-3.0680687231468386,4.242640687119285,16.4282332717231,-30.680687231468383,-30.680687231468383,10.0,6.0
8,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:27.6,2.715695122800054,0.25,1.5,2.25,318.75,-135.5,-110.25,362.46517074058295,319,-134,-108,-27.027027027026975,654.6215434019831,-100.42985060415235,-2.417323606151328,3.1622776601683795,11.107141896114225,-24.173236061513283,-24.173236061513283,6.0,4.0
9,1,nisson,0,0,0,0,teana,0.0,0,177.75,-105.0,-157.0,198.5,-73.75,-246.0,303.25,-53.75,-197.0,318.75,-135.5,-110.25,0.0,0.0,18:28.0,0.6123724356957945,0.25,-0.5,0.25,318.75,-135.5,-110.25,363.80901583110875,319,-136,-110,-9.009009009009027,656.0338040675167,0.10221716666642296,-0.4423835701988177,2.449489742783178,8.441743782621025,-4.423835701988176,-4.423835701988176,6.0,4.0
10,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:28.4,2.3986324228609943,0.2375000000000113,2.375,0.2374999999999972,318.7625,-135.375,-110.2375,362.6982216664427,319,-133,-110,-9.009009009009027,653.906059922229,0.7618886658619853,-0.37823286488505303,1.7320508075688772,8.157258502191011,-3.7823286488505303,-3.7823286488505303,0.0,3.0
11,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:28.8,1.865056969639265,0.2375000000000113,1.375,1.2374999999999972,318.7625,-135.375,-110.2375,362.7643863446356,319,-134,-109,-18.018018018018054,654.6215434019831,7.585971024667077,-1.5641481744449293,2.23606797749979,8.119040346428296,-15.641481744449292,-15.641481744449292,4.0,3.0
12,1,nisson,0,0,0,0,teana,0.0,0,177.7625,-105.05,-157.15,198.475,-73.7625,-246.0,303.2375,-53.8125,-197.05,318.7625,-135.375,-110.2375,0.0,0.0,18:29.3,2.335259621541038,0.2375000000000113,-0.625,2.237499999999997,318.7625,-135.375,-110.2375,363.2093060481793,319,-136,-108,-27.027027027026975,656.0338040675167,-0.21405003282279433,-2.1227281509078653,3.7416573867739413,14.663549709335255,-21.227281509078654,-21.227281509078654,10.0,6.0
