,Backward,Brand,Car_Status1,Car_Status2,Car_Status3,Car_Status4,Category,Class,Class_Target,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Forward,Sideway,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z,Mag_Zcompoment_norm,Mag_performance_XY_plane,Mag_cosine_variations_product_XY_plane,Mag_cosine_variations_Kcriterion,Mag_square_deviation,Mag_vectorial_deviation,Mag_combined_vectorial_deviation,Mag_weighting_vectorial_deviation,Mag_each_axis_difference,Mag_each_axis_distance
0,0.0,nisson,0,0,0,0,teana,0.0,0,177.62606100000005,-105.0882253,-156.7748009,198.3158385,-73.96291836,-244.8363611,303.1223663,-53.72650835,-195.838148,318.5567932,-134.90356780000002,-109.3090914,1,0.0,19:29.3,1.4473384592763874,0.6841614999999877,0.9629183600000032,0.8363611000000049,198.3158385,-73.96291836,-244.8363611,323.2120047275472,199,-73,-244,-3.4160003695627994,641.6093720054831,1.0965810923147203,0.21918510686594617,1.4473384592763874,7.187678736525788,2.191851068659462,2.191851068659462,0.5575137200000313,2.483440959999996
1,0.0,nisson,0,0,0,0,teana,0.0,0,177.644758,-105.033814,-156.5860609,198.3000466,-73.96477244,-244.744543,303.116248,-53.74018293,-195.8462406,318.5789536000001,-134.8083894,-109.1936368,1,0.0,19:29.7,1.7705081818518065,-0.3000466000000017,-0.035227559999995606,1.7445430000000215,198.3000466,-73.96477244,-244.744543,322.06986819632783,198,-74,-243,-7.500361023785929,643.4018808679275,-1.6339632685928178,-0.4257682568983595,1.8636928651740272,5.250287113131274,-4.257682568983595,-4.257682568983595,4.304399200000034,2.189281240000014
2,0.0,nisson,0,0,0,0,teana,0.0,0,177.644758,-105.033814,-156.5860609,198.3000466,-73.96477244,-244.744543,303.116248,-53.74018293,-195.8462406,318.5789536000001,-134.8083894,-109.1936368,1,0.0,19:30.2,2.1128537341719125,0.6999533999999983,0.9647724400000044,1.7445430000000215,198.3000466,-73.96477244,-244.744543,322.45774917033697,199,-73,-243,-7.500361023785929,641.6093720054831,2.03742633657805,-0.0980648331150552,2.183463032822071,9.434894915364394,-0.980648331150552,-0.980648331150552,2.3043992000000344,3.483440959999996
3,0.0,nisson,0,0,0,0,teana,0.0,0,177.644758,-105.033814,-156.5860609,198.3000466,-73.96477244,-244.744543,303.116248,-53.74018293,-195.8462406,318.5789536000001,-134.8083894,-109.1936368,1,0.0,19:30.6,2.436085553096233,1.6999533999999985,-0.035227559999995606,1.7445430000000215,198.3000466,-73.96477244,-244.744543,323.3032632065442,200,-74,-243,-7.500361023785929,642.435362236641,-16.506085547550537,-0.12934317184189748,2.4919865761477378,11.092918949129032,-1.2934317184189748,-1.2934317184189748,3.746885480000003,3.557604239999989
4,0.0,nisson,0,0,0,0,teana,0.0,0,177.644758,-105.033814,-156.5860609,198.3000466,-73.96477244,-244.744543,303.116248,-53.74018293,-195.8462406,318.5789536000001,-134.8083894,-109.1936368,1,0.0,19:31.0,1.0225067344541758,0.6999533999999983,-0.035227559999995606,0.7445430000000215,198.3000466,-73.96477244,-244.744543,323.4393297049696,199,-74,-244,-3.4160003695627994,642.9173544641008,-9.681231327825863,-0.06573732923531583,1.0811807877041382,4.8690414569564355,-0.6573732923531583,-0.6573732923531583,1.746885480000003,1.5576042399999892
5,0.0,nisson,0,0,0,0,teana,0.0,0,177.644758,-105.033814,-156.5860609,198.3000466,-73.96477244,-244.744543,303.116248,-53.74018293,-195.8462406,318.5789536000001,-134.8083894,-109.1936368,1,0.0,19:31.4,1.042147831166055,-0.3000466000000017,0.9647724400000044,-0.2554569999999785,198.3000466,-73.96477244,-244.744543,323.35429485318423,198,-73,-245,0.6683602846602188,642.0935670394537,-0.15515561096078215,0.38729323739915555,1.0265200512900672,4.385128689681994,3.8729323739915555,3.8729323739915555,2.5575137200000313,1.4423957600000108
6,0.0,nisson,0,0,0,0,teana,0.0,0,177.644758,-105.033814,-156.5860609,198.3000466,-73.96477244,-244.744543,303.116248,-53.74018293,-195.8462406,318.5789536000001,-134.8083894,-109.1936368,1,0.0,19:31.9,6.067981682734742,1.6999533999999985,0.9647724400000044,5.7445430000000215,198.3000466,-73.96477244,-244.744543,320.07811546558446,200,-73,-239,-23.837803640678334,641.1277608663432,26.0813145302448,-1.1288815344055987,6.150343292508198,22.358546083511538,-11.288815344055985,-11.288815344055985,9.746885480000003,8.483440959999996
7,0.0,nisson,0,0,0,0,teana,0.0,0,177.7625201,-105.0321233,-156.4067578,198.3350442,-74.01653382,-244.5073159,303.1604356,-53.75317378,-195.7539286,318.6500059,-134.7679699,-109.233955,1,0.0,19:32.3,4.661037284290949,0.6649558000000297,-0.9834661799999936,4.507315900000009,198.3350442,-74.01653382,-244.5073159,320.66493416025395,199,-75,-240,-19.753442986455205,644.2085402621944,-1.4606401284852408,-0.6573541017841772,4.99339603633645,21.237391816656544,-6.573541017841772,-6.573541017841772,11.746885480000003,6.557604239999989
8,0.0,nisson,0,0,0,0,teana,0.0,0,177.7625201,-105.0321233,-156.4067578,198.3350442,-74.01653382,-244.5073159,303.1604356,-53.75317378,-195.7539286,318.6500059,-134.7679699,-109.233955,1,0.0,19:32.7,1.7364011073338823,1.6649558000000295,0.016533820000006468,-0.4926840999999911,198.3350442,-74.01653382,-244.5073159,324.809174747266,200,-74,-245,0.6683602846602188,642.435362236641,4.223269340627158,0.4359283181911866,1.6924989499850527,5.904166760934471,4.3592831819118665,4.3592831819118665,3.6956007999999656,1.8848820399999795
9,0.0,nisson,0,0,0,0,teana,0.0,0,177.7625201,-105.0321233,-156.4067578,198.3350442,-74.01653382,-244.5073159,303.1604356,-53.75317378,-195.7539286,318.6500059,-134.7679699,-109.233955,1,0.0,19:33.1,3.882475499671621,1.6649558000000295,0.016533820000006468,3.507315900000009,198.3350442,-74.01653382,-244.5073159,321.80273460615587,200,-74,-241,-15.669082332232076,642.435362236641,-6.144812338724288,-0.5510352434636989,4.189921418797797,17.75500805975533,-5.510352434636989,-5.510352434636989,7.746885480000003,5.557604239999989
